Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144
06.08.2017 05:00;4,49418;2,23863;10,2977;4,72718;2,59632;12,0568;1,81269;5,91976;5,7579;2,59926;2,33848;9,87814;5,75034;5,61969;3,82453;5,10982;9,7;2,3;6,0;9,9;4,0;2,8;12,2;5,6;4,6;13,8;3,0;5,6;4,4;33,8;8,4;19,04;6,8;11,8;11,3;8,9;13,14231;8,2;7,3;10,2;7,58;11,1;5,35734;9,03558;5,66377;3,24615;10,741;4,52507;9,15848;30,7858;42,3386;26,3302;38,8657;15,1104;11,369;26,1497;3,02468;22,6012;27,9466;14,3679;22,3881;16,1;7,56;2,629;14,7;6,33;15,69;21,71;7,09;11,84;11,26;31,49;14,96;31,256118;22,01;6,66066;3,57174;7,22577;;6,7;22,6;2,7;6,0;4,74;1,79462;26,5061;13,5949;3,54101;6,99208;11,0126;5,5382;;9,9727;9,8301;3,411;3,8193;7,6143;5,17475;3,34775;;8,50937;3,66254;;;19,2;;;15,0;15,6;2,635;11,6133;5,61085;11,1626;8,71247;9,76921;4,22303;11,1623;21,4449;8,90336;10,1655;8,04917;10,0301;4,11357;6,82639;7,78497;9,1066;9,26576;2,90736;1,66025;6,4854;7,25763;2,07;2,81788;2,54228;8,35186;2,15341;4,51841;4,12461;3,45032;10,5919;3,90314;1,84285;8,72223;7,32508
06.08.2017 06:00;4,80454;2,50844;3,80541;4,46302;3,22164;5,97181;1,99285;6,48168;5,3306;3,23925;2,55624;10,8968;5,35466;5,50762;5,00944;4,99935;8,8;2,5;4,1;12,1;4,2;3,2;9,5;3,0;6,9;10,6;2,7;2,3;3,3;17,0;6,3;16,03;6,0;10,9;8,5;9,4;10,75106;8,5;4,5;8,5;4,65;8,6;6,23418;9,11727;5,25375;3,37734;11,2798;4,78648;13,0101;29,6606;16,56;20,3951;31,0095;16,2652;14,3523;18,4817;2,62475;28,7143;22,1007;13,9593;26,6209;12,3;6,26;2,151;16,6;5,53;13,09;18,51;8,29;9,64;11,86;18,99;11,46;20,55655;14,31;20,23;4,11926;10,6615;;9,2;11,2;3,5;7,0;4,55122;1,6422;22,4878;10,7975;3,24402;6,55604;8,3735;5,442;;8,1007;8,6387;2,9359;4,5301;5,3601;4,3956;2,71993;;7,78515;3,66838;6,2986;;11,2;;;10,0;12,0;5,4;10,3657;6,54791;12,4079;6,37833;7,18386;6,30752;9,39305;19,949;7,60976;7,93862;6,89636;12,1528;3,68337;4,85343;6,11492;15,6098;5,92879;4,15147;2,31724;4,37104;8,9949;1,86;2,55755;2,25658;5,79482;1,81743;4,01822;4,47514;4,36666;10,03;4,73751;2,02762;7,33111;8,99543
06.08.2017 07:00;4,70272;3,56322;3,03424;4,37934;4,42628;6,76317;1,65445;5,99412;4,64891;3,12134;2,15578;14,6831;6,03608;5,75406;4,16497;5,33076;8,0;1,7;2,2;7,1;5,6;2,0;8,1;1,2;3,3;10,2;1,9;1,7;2,5;8,5;6,4;12,11;3,4;9,4;7,6;8,0;8,13025;5,7;3,8;6,0;3,75;6,5;4,51285;7,34675;4,52364;3,40336;13,3483;6,04288;9,57331;25,915;14,4149;19,174;26,6087;14,4764;12,162;15,5078;2,64812;52,0194;53,1641;5,16012;23,3025;8,2;4,76;2,0315;12,6;4,63;10,49;14,41;6,09;6,24;9,86;30,99;12,76;22,456983;13,61;18,0811;3,46477;9,36721;;5,7;14,1;3,6;11,7;4,85315;1,65176;26,9454;11,797;2,81155;7,15672;5,2324;4,5529;;4,4755;6,7382;2,7033;3,4506;7,0377;5,34458;2,89099;;6,69496;2,56527;5,3447;;9,3;;;6,0;9,8;4,16;10,2611;6,66066;8,3002;6,37174;3,95465;5,32067;7,30065;10,0404;11,9472;6,12902;5,51559;16,2739;3,32104;4,31156;4,46843;9,99817;6,87842;4,40062;0,91829;3,17286;4,98766;0,96;2,54396;2,36654;5,7587;2,04957;3,75795;3,95731;4,71196;10,7327;3,76823;4,06843;;10,6084
06.08.2017 08:00;4,34871;4,5017;3,02468;4,56869;2,79418;1,91784;1,21797;6,19807;7,09188;2,69486;2,28537;12,3802;7,31234;7,16203;4,29669;5,23198;7,0;1,3;1,4;7,5;6,6;1,7;6,8;0,2;1,6;9,3;1,5;2,3;2,3;5,9;7,1;11,62;1,9;7,1;6,3;8,4;5,31814;4,4;3,4;5,3;3,88;5,2;3,86012;3,91939;3,52036;3,11072;12,5555;5,24525;7,90187;24,0512;10,6743;11,5472;31,3828;13,5332;8,96098;11,222;2,43992;23,7633;31,6781;5,27538;9,4251;9,5;5,56;1,3145;14,1;6,13;12,29;10,21;5,29;6,94;8,16;22,59;15,36;14,257416;17,81;9,91044;2,14152;6,51089;;4,0;11,6;3,1;8,3;5,55998;1,69212;22,4023;17,3073;2,78017;7,76006;4,9239;4,4064;;4,9425;5,4271;2,4565;3,7277;3,9041;5,76008;2,28217;;6,46735;2,32716;4,2586;;5,3;;;5,0;7,9;3,705;8,95772;5,41202;7,88806;6,05838;3,94031;4,20534;7,6156;9,03213;9,20716;5,25269;5,52143;17,2042;3,64395;3,7438;4,51551;7,77653;3,98758;4,25712;1,26139;2,93598;2,77346;1,84;2,21483;2,02653;5,63395;2,10414;3,66947;5,05352;4,19272;12,9458;1,96617;1,48942;3,87446;6,80991
06.08.2017 09:00;3,87081;3,9111;2,49516;3,45185;2,62316;1,99485;1,12143;5,35254;3,69342;2,07558;1,89554;18,4242;5,7838;6,17576;4,25739;4,02688;9,3;1,8;1,4;7,4;2,5;1,7;8,5;1,3;1,8;9,0;1,8;4,0;3,3;6,5;6,2;11,06;4,2;7,9;5,9;7,4;6,6955;2,7;2,5;4,7;3,77;3,7;3,75442;2,53669;3,01585;3,30139;12,5223;4,87507;7,61879;22,8199;10,6313;13,6482;34,322;9,04136;10,3111;9,17682;5,54692;7,89898;10,0222;6,13491;6,50239;7,3;4,06;0,956;10,3;5,63;11,49;9,11;2,59;3,74;7,76;18,79;9,86;8,357849;10,01;9,63807;2,50035;4,413;;2,5;8,8;2,5;4,2;6,89131;2,16587;17,8687;12,7654;3,15221;9,63967;5,2774;4,2704;;5,4964;5,3402;1,9977;3,7365;3,3499;;1,71956;;;2,84251;5,0546;;4,5;;;4,0;5,1;1,925;9,20575;4,79009;7,8392;5,82363;3,45647;2,54243;7,39254;9,49645;7,34133;4,37264;3,76398;11,0605;4,47939;3,03105;3,89039;7,3681;3,08044;3,36306;0,6846;2,68158;1,88226;2,03;2,10431;1,96235;5,41158;2,07795;2,981;1,13764;3,00727;14,2724;1,61245;1,22727;4,06141;5,958
06.08.2017 10:00;4,19786;5,34032;2,26253;3,10769;3,3768;2,18552;1,37258;6,05573;4,72404;2,20836;1,97361;20,4696;5,4014;6,32713;4,69184;3,51808;10,0;1,6;1,7;6,5;1,4;1,4;6,6;;2,6;14,2;0,9;2,8;3,7;7,5;2,9;6,65;3,4;4,2;3,1;4,1;4,45729;1,8;2,8;4,2;3,89;4,9;2,93651;1,67927;3,09755;2,66724;11,4739;3,68963;5,66802;28,0397;11,8013;9,35009;30,788;8,93401;9,73268;10,0216;5,46354;6,11817;8,50471;5,26122;10,0513;4,5;2,96;0,956;10,2;4,53;9,99;6,81;2,49;3,54;7,06;14,79;6,56;;8,31;5,57082;3,38993;3,87977;;1,6;6,5;1,9;3,6;7,91683;3,80647;16,021;7,39581;3,45255;8,2609;4,2223;3,388;;4,1227;4,9843;1,985;3,2236;2,183;5,39509;1,48902;;7,97536;2,92217;3,936;;3,9;;;6,0;4,1;0,97;11,8517;4,41619;14,2218;5,80823;3,56429;2,5249;6,28464;10,9977;9,44242;4,29881;2,43514;9,88899;4,64611;3,51596;3,57491;8,24762;4,99669;3,96474;1,7378;2,29546;3,32422;1,31;1,46265;2,20479;5,69387;1,83407;2,97097;3,34175;2,46893;16,0937;1,60024;1,08248;4,93296;3,64024
06.08.2017 11:00;4,50393;4,53197;1,91784;3,13371;3,31838;2,78727;1,22899;6,43069;3,0978;1,90138;1,39417;19,8009;4,83205;4,59252;3,94775;2,8133;15,4;0,8;1,1;13,5;1,9;1,1;7,4;;2,6;10,7;0,8;1,7;4,0;5,4;1,9;7,42;2,7;4,2;3,4;6,7;4,32338;1,7;3,0;3,9;4,02;3,4;2,57695;1,80928;2,97263;2,56208;10,6052;3,87711;4,70671;35,4171;12,7021;11,6731;27,1892;10,8981;9,75924;6,9595;4,49161;6,39382;11,2246;3,06016;7,99641;4,1;2,46;0,8365;8,8;3,33;7,59;5,41;2,59;4,24;5,86;17,49;6,16;;6,41;5,6558;3,2782;4,81877;;4,8;6,7;1,5;3,1;7,53726;4,37476;16,2233;9,53238;3,12247;5,2341;3,032;3,2466;;3,9435;3,7505;2,1939;2,5898;2,8658;5,9432;1,27986;;8,67431;2,93439;3,2898;;3,7;;;4,0;5,0;0,555;7,1631;5,35679;16,3633;6,00368;3,94562;2,16587;6,3882;25,146;8,96606;4,76354;3,13504;7,84201;3,72203;2,99494;4,11877;8,93435;3,8001;3,60448;2,38203;2,49357;2,95723;1,17;0,89179;2,04775;5,82293;1,47576;3,33766;3,82885;3,4312;23,9664;2,57695;1,32591;7,09458;3,61952
06.08.2017 12:00;4,02218;5,12682;1,56572;3,54;3,07938;3,7454;1,20455;7,30225;3,71822;1,8079;1,81268;25,982;4,18728;4,53994;4,00352;2,33211;17,8;0,6;0,8;7,7;0,8;1,4;12,6;1,0;1,5;16,9;0,6;0,9;3,4;4,6;1,8;6,58;2,1;5,5;4,6;7,7;5,14597;2,7;3,0;4,1;4,34;4,0;3,17073;1,43342;2,65502;2,76513;8,6295;3,19676;4,85754;32,7398;13,0999;12,0601;29,4968;10,7;8,87866;6,83087;5,5687;5,8011;9,76573;1,81071;6,27667;4,1;2,16;0,5975;8,0;3,53;6,89;5,91;2,69;3,74;6,76;15,89;6,06;10,859147;5,81;1,66185;2,30793;3,53401;;5,4;4,9;1,5;2,3;7,51719;4,2388;15,185;6,53638;4,92009;5,12257;3,4112;4,5774;;5,3512;3,6183;2,2031;;4,1868;7,20814;1,06474;;9,27832;3,06563;3,462;;4,2;;;7,0;;0,425;6,72387;5,99678;14,8743;6,05626;3,6482;2,67414;6,32606;12,2256;9,26901;4,29616;5,96874;8,4242;3,50871;3,38424;4,07734;8,8021;2,79736;4,51864;4,10549;1,86792;2,96626;0,49;0,75607;1,93753;5,59043;1,3008;2,79101;3,70344;3,68812;22,4215;2,17065;1,76503;9,32673;3,27908
06.08.2017 13:00;5,01123;5,88259;2,5642;3,20495;2,08089;3,60624;1,10894;6,66651;4,0233;2,30237;2,31299;22,2764;3,93022;5,13213;4,72583;2,29174;12,9;2,5;1,0;7,8;0,7;1,2;12,1;2,2;1,0;19,8;0,5;1,0;3,0;4,6;2,0;6,58;2,1;5,4;4,9;8,9;6,81028;1,9;3,1;5,0;4,42;4,6;4,41141;1,39151;2,0384;2,28451;9,30798;3,75655;6,14974;29,3881;13,5407;11,1421;34,8712;9,81513;7,78191;7,42307;4,64775;6,14101;12,273;2,53357;6,31332;2,4;2,46;0,5975;8,5;4,03;6,69;5,61;2,39;3,44;6,46;24,29;6,36;;5,71;3,02468;2,2006;3,40655;;2,5;3,1;1,5;1,6;6,46651;3,60571;15,6933;4,75557;4,74377;6,71696;5,2995;5,1573;;7,1671;3,8924;2,133;2,442;2,3238;7,00254;1,14028;;9,25515;3,95518;4,1486;;4,7;;;8,0;11,5;0,11;9,8383;7,76644;17,4842;6,20603;4,85701;2,74531;6,96021;24,0599;8,01751;8,42873;7,94489;9,66352;4,4539;4,30359;3,86596;6,82796;2,8919;3,97939;3,25199;1,62786;3,56641;2,01;1,15457;1,81179;5,88147;1,40939;2,9865;4,75185;4,7039;23,9329;2,95935;1,23468;9,98489;3,20447
06.08.2017 14:00;6,09293;8,92426;2,43886;3,51779;2,86481;2,63962;1,10769;7,70164;3,35002;2,60616;2,09576;29,0141;4,07309;4,76725;5,08433;2,84941;14,2;1,9;0,8;6,4;0,7;1,3;12,1;1,1;0,7;17,7;0,7;0,8;3,2;5,6;1,5;6,02;2,1;5,2;4,5;8,7;7,03984;3,8;2,9;5,7;4,1;4,2;2,79258;1,11018;2,17224;2,89676;9,3777;4,93615;6,58578;39,6082;17,9925;12,9521;24,7418;9,06509;9,5776;8,92437;5,64571;6,49154;13,402;7,89408;6,34147;2,1;2,56;0,717;9,8;4,93;6,99;7,31;2,39;3,64;7,56;26,89;6,76;;6,31;2,08886;3,0168;2,56367;;3,3;5,1;0,8;1,7;6,12924;3,61793;15,5637;5,18152;3,89867;4,31634;3,4161;4,3556;;5,3017;3,6106;3,4884;2,5156;3,7909;8,79443;1,35042;;9,71337;2,65024;3,3679;;5,4;;;7,0;7,0;0,02;9,40385;8,72456;10,8559;6,16036;4,0083;2,18074;6,50717;11,5081;6,3665;5,10982;7,10308;9,28085;5,3775;3,93288;4,41619;5,13903;3,39008;2,61855;2,63856;1,40373;3,01406;2,08;0,97256;1,69758;6,17152;1,29455;3,4722;5,53258;5,29075;25,6537;4,22552;1,96835;9,51326;3,2178
06.08.2017 15:00;6,09566;10,9281;2,49941;3,7761;3,04592;3,59562;1,52783;7,44883;3,8872;2,74372;2,49994;27,4487;3,86968;4,56702;5,90914;3,05442;17,3;2,0;0,8;7,5;1,2;1,7;12,0;3,5;1,0;15,2;0,8;1,3;3,7;4,3;1,7;6,09;2,5;4,9;4,1;9,2;6,84854;3,6;2,8;4,8;4,34;5,2;3,33113;1,31326;2,1271;3,71672;9,1215;3,94722;5,56286;40,2942;16,8192;14,2846;26,2358;9,0092;8,45908;3,23661;4,55693;9,12585;19,0793;5,62039;5,78274;2,0;2,86;0,717;12,8;3,93;7,69;6,81;1,99;3,84;8,06;29,99;7,36;15,460445;7,31;1,24917;3,3308;2,83507;;2,3;3,5;0,9;1,9;7,00717;2,98909;15,8064;7,31977;3,68008;4,60845;4,8936;5,5891;;6,8858;4,4589;2,1183;2,1679;3,3393;7,06886;1,18004;;9,78577;3,2504;3,8446;;5,4;;;5,0;6,9;0,035;14,6029;7,32562;17,0253;6,14503;3,24668;2,25616;6,51089;12,8109;6,14652;5,42424;6,2703;7,59831;4,88304;4,59199;3,50108;4,9643;4,35511;3,43294;2,22217;1,70805;4,83417;2,16;1,06305;1,54938;5,78471;1,19719;3,06802;6,61605;4,78052;23,2074;4,16391;2,11899;11,1236;3,20301
06.08.2017 16:00;7,4276;9,32578;3,90632;4,22538;3,32336;6,16673;1,42002;8,49831;5,14179;2,57348;2,20812;30,3811;4,39281;5,61191;6,69147;4,16166;15,2;1,6;1,0;6,3;1,3;2,2;9,6;3,6;1,4;19,2;0,6;2,3;4,1;5,8;3,9;8,26;2,7;4,8;4,9;9,6;6,84854;3,5;2,7;6,1;4,89;5,4;3,78576;1,44696;2,23067;3,88348;10,4363;5,96916;5,50656;38,4601;15,3443;19,3297;27,4085;9,28714;9,9531;8,52993;4,5017;8,54853;12,0398;8,21304;5,94366;1,9;2,66;0,5975;12,1;5,23;7,69;8,11;2,49;4,64;9,46;34,89;8,76;18,060877;6,51;1,2497;4,52998;3,1702;;2,1;5,2;0,8;2,4;6,5713;3,19835;16,8282;12,2671;4,46228;6,71494;7,341;5,7684;;7,0151;3,8108;2,0918;2,1441;3,6453;7,05238;1,02424;;14,182;3,75687;3,5162;;4,9;;;4,0;6,6;0,01;14,8594;6,11681;10,2118;6,14708;3,45169;1,93537;6,53107;11,6738;6,85086;6,47371;4,36095;11,0829;4,2457;4,09115;4,2866;8,6688;4,22393;2,97876;2,39106;1,86898;3,15321;1,91;1,27917;1,74554;7,70819;1,41081;3,92778;8,52008;6,22692;19,7938;1,80418;2,72554;18,9777;3,37896
06.08.2017 17:00;;;;;;;;;;;;;;;;;23,0;3,9;2,4;5,1;1,2;2,9;10,6;3,8;1,3;19,3;1,1;0,8;3,6;7,5;4,7;7,42;2,5;6,6;8,0;12,7;8,91458;9,2;2,8;6,8;5,67;7,5;7,66234;1,35125;2,03947;4,40822;11,7677;5,20754;6,7005;42,9772;22,0326;18,3004;24,9288;13,4984;13,3889;13,3881;4,15116;9,14497;21,8922;6,23956;7,3936;2,1;3,46;0,717;16,8;5,43;8,49;7,91;2,79;4,54;13,36;42,39;9,56;18,76131;9,11;2,84676;3,36287;4,20481;;2,0;5,6;0,7;2,8;6,49822;5,51187;17,0816;4,28129;5,29402;11,2925;5,1649;5,1435;;6,9317;3,849;2,0932;2,0923;5,7029;7,163;0,85763;;11,7141;3,9589;3,4641;;7,0;;;5,0;4,5;0,03;15,9068;6,60862;14,422;6,23206;2,82923;1,54713;5,17408;11,703;10,7754;5,65102;5,09867;10,5072;4,49479;4,41725;4,48948;12,8513;4,28978;4,27789;3,22862;1,77444;4,41884;1,67;2,28054;1,87875;8,443;1,59712;3,7355;11,8916;7,2004;18,0174;8,81113;2,40117;19,4546;3,56588
06.08.2017 18:00;7,94426;9,37677;7,27728;5,74417;6,5729;7,53753;1,60121;12,4731;6,45021;3,33113;3,28758;47,7084;6,74511;8,3087;6,9567;6,20338;24,7;6,9;2,9;5,1;1,5;2,9;13,1;4,9;1,7;31,0;0,7;1,5;4,1;5,6;3,0;9,45;2,2;10,2;9,8;13,2;10,84671;8,3;2,6;9,7;7,86;8,6;8,32942;1,59535;3,20579;5,96066;14,2345;7,12114;5,89268;46,4173;19,4397;24,3056;23,1256;24,5157;13,9672;13,7513;3,15108;14,5373;41,4027;6,65855;7,31021;2,2;2,86;0,8365;26,3;7,33;9,49;11,71;4,29;5,44;14,86;50,09;13,26;30,561743;11,21;4,42734;3,16702;6,03236;;3,4;8,1;0,9;3,1;6,53215;6,99451;19,8375;8,32517;5,07941;9,27426;3,844;5,8894;;10,1039;4,5201;2,1319;2,3025;4,4456;7,81804;1,19091;;15,3549;5,56764;3,6251;;7,5;;;5,0;8,3;0,185;20,4191;5,55595;12,837;7,97835;4,87135;3,38424;8,94497;6,12477;17,8556;5,51134;4,34608;11,2427;10,2117;5,84594;4,64297;15,339;5,75618;6,93466;4,91809;3,14152;5,12682;2,03;3,96267;2,94039;9,67068;2,66191;3,87712;15,6975;9,91192;23,6297;14,442;3,24074;19,2305;3,36512
06.08.2017 19:00;14,6033;5,66855;13,981;7,79976;10,2261;6,2772;1,75693;13,5062;7,99618;1,93962;2,95138;50,1105;9,13192;17,0561;7,76803;7,74094;26,9;11,3;2,3;4,8;3,3;4,3;22,5;15,1;3,1;28,8;1,0;3,7;4,6;6,7;4,7;11,48;3,6;11,1;13,8;17,6;14,06055;11,5;3,0;14,6;9,6;14,8;9,91266;2,32106;3,8803;12,6999;16,8062;10,2791;7,16469;43,4136;35,4081;25,7104;24,3058;19,1604;12,2464;15,1437;5,07105;16,0335;31,4328;11,8768;9,86464;2,4;3,16;0,956;29,6;14,53;10,39;19,91;6,19;6,54;20,36;42,99;19,26;26,162176;14,01;5,57348;3,98397;6,02917;;2,9;8,4;1,3;7,6;6,89978;4,6929;20,5067;4,652;4,7359;14,3512;5,0233;7,1278;;;4,7837;2,4881;2,525;6,5223;8,52682;1,66904;;12,0492;7,2182;4,8186;;12,4;;;6,0;7,5;0,765;23,4671;7,11583;13,4939;11,6547;8,82866;7,72182;14,8759;5,90011;15,1498;9,65188;13,8923;10,2907;13,0611;11,293;5,52302;14,5567;5,13319;7,73347;8,01128;3,72256;7,02554;2,37;9,65067;3,48951;11,9804;7,04293;7,3903;28,6439;16,2438;33,2146;12,6697;3,81854;26,8243;4,15966
06.08.2017 20:00;23,0499;4,60792;8,47441;12,3759;17,3432;9,34384;1,8787;18,0365;12,129;1,87801;3,16277;67,0825;16,1452;20,7261;10,4385;14,1902;40,6;21,3;6,2;6,8;4,9;9,5;28,6;20,5;6,1;40,5;1,4;9,1;12,6;9,7;7,3;9,73;7,7;19,6;17,5;24,3;23,77859;16,0;8,0;24,8;14,1;24,1;20,8839;2,8791;7,85566;15,9477;18,3268;13,2135;9,81175;59,7502;32,9501;34,0738;24,2835;29,8892;17,3047;19,4345;4,68121;54,5544;40,6403;18,6813;9,78889;3,9;3,76;2,2705;22,6;21,93;11,49;26,31;5,89;6,94;28,96;59,09;27,46;27,762608;22,11;5,42902;4,5441;6,11521;;3,5;14,3;1,9;15,4;6,9644;4,60845;34,7378;4,61748;6,89064;21,6168;6,7139;11,1618;;21,3573;6,5137;4,6799;3,3543;6,7742;9,89016;2,88508;;11,7408;10,0215;6,3304;;24,0;;;12,0;14,9;1,13;19,3388;8,32942;12,3844;12,829;14,5917;7,31074;22,4586;19,5205;9,06782;15,424;15,7528;11,3581;21,2986;11,0322;5,82151;12,2294;11,6053;4,91353;6,50292;13,3038;7,32721;2,26;16,3723;5,82811;16,191;18,5792;17,6404;53,955;22,7858;48,6785;11,8857;4,28516;23,8267;20,972
06.08.2017 21:00;20,7757;4,36945;12,4763;13,3447;21,7683;13,871;2,20611;28,9758;17,4566;1,99804;5,6489;61,0884;22,8468;19,9199;12,0052;22,0082;55,0;38,1;13,3;10,2;6,3;8,4;36,8;22,4;8,7;37,4;1,5;8,1;7,1;9,6;7,3;11,55;7,1;22,1;18,3;26,6;18,59436;22,5;7,4;28,5;14,73;21,9;36,482;3,63068;8,57426;22,8617;18,28;14,3894;12,0583;44,7567;51,3871;32,2649;24,4555;33,7148;14,3225;22,2243;4,89472;54,8094;50,6162;19,9004;10,059;5,7;4,76;2,0315;27,9;24,33;18,19;31,31;6,19;6,74;22,26;66,69;40,76;41,363041;26,21;4,44859;5,05612;5,97075;;2,8;34,1;1,8;19,1;6,58093;4,12302;27,5094;10,6684;6,40043;19,3978;10,5255;11,7295;;25,0739;10,2929;7,4557;3,6923;10,47;12,9815;5,87758;;14,911;11,6531;10,5869;;19,0;;;19,0;10,0;0,82;17,0864;9,66888;13,5253;11,1135;17,3344;9,03261;13,6087;11,327;7,51838;12,9968;10,9696;10,5339;14,5567;13,4631;6,64898;14,5551;11,3907;3,59403;3,5064;13,905;18,1029;2,08;12,6115;8,82182;14,6681;11,7538;23,3175;58,1986;33,8013;45,2225;16,8113;6,08244;30,7651;16,3986
06.08.2017 22:00;17,8205;3,28811;11,054;12,1797;23,0051;21,9482;5,1244;21,5881;15,9385;2,99069;14,7001;37,9771;26,2496;23,1039;14,1716;33,4812;43,5;36,8;13,1;11,2;7,4;10,0;47,8;30,8;8,9;42,7;1,5;4,7;4,5;9,1;7,5;9,73;6,3;18,7;14,3;24,7;16,50919;31,6;7,2;27,7;13,27;17,8;32,1806;3,55993;3,41026;15,8048;17,9919;11,297;14,3825;38,9194;43,5155;27,4036;22,6694;31,6102;10,1321;22,8877;5,19427;25,6184;34,6716;15,1393;6,71378;6,4;5,86;2,5095;29,9;16,13;21,39;38,11;6,99;10,84;21,66;65,29;53,56;36,163474;33,01;4,25686;5,77505;6,31704;;6,9;54,6;1,9;6,1;6,20146;3,94562;22,8712;7,30012;6,92544;13,0122;14,6191;11,3745;;29,3579;13,3589;5,7956;3,0438;9,5995;7,84223;6,78981;;12,435;8,90089;11,1193;;13,0;;;19,0;7,6;0,64;13,0632;12,8141;8,45688;8,77714;13,153;7,10945;10,7311;11,4678;6,66262;9,0974;17,2967;18,25;5,9426;10,482;7,02341;11,1172;11,2739;4,00825;5,03334;10,6477;15,3603;2,27;9,81863;9,88674;14,9945;12,4493;16,7942;51,1736;52,3981;39,9906;41,4851;6,42477;59,4563;7,31021
06.08.2017 23:00;13,7373;2,78302;13,657;8,70101;16,0884;27,442;6,78455;18,0923;10,375;4,02157;17,7248;41,9923;34,6954;19,3999;17,5134;30,2165;40,8;29,2;14,8;11,6;9,9;13,0;38,6;42,2;7,0;36,9;1,3;8,4;3,8;8,4;9,0;11,97;9,0;15,4;14,4;32,3;16,12659;14,5;6,8;29,4;14,55;16,6;34,3958;4,57446;4,34343;15,9594;17,0857;6,93682;13,3877;27,7146;38,1242;19,9473;22,8654;20,7949;10,634;23,6598;3,91004;41,9634;52,4206;6,91917;7,92577;7,6;5,76;2,151;28,6;19,73;20,59;30,61;8,59;14,24;19,16;48,29;35,16;34,763906;26,21;3,50268;4,76969;6,58525;;9,7;41,7;2,3;6,0;6,01499;4,85276;17,9861;5,79548;10,0741;8,9949;10,2578;7,9198;;10,6515;12,3149;3,872;3,2326;6,9352;5,60466;7,11786;;10,7789;8,33193;8,6893;;11,5;;;23,0;7,7;0,5;15,7443;12,9761;8,35119;8,25515;8,7543;6,32128;9,11918;11,2213;6,65312;10,3859;13,3606;7,59645;6,08538;6,32606;6,86249;9,321;9,34171;4,81827;3,36087;6,01324;11,6733;2,08;11,3851;13,863;14,4836;13,138;14,432;40,0638;48,212;15,2673;43,353;1,72255;44,8741;7,16894
07.08.2017 00:00;11,6262;1,95555;6,27348;8,06827;8,48184;18,1911;3,94374;26,1455;13,5199;5,52249;15,4899;44,7042;30,3865;14,4845;16,3327;25,4413;32,3;25,4;37,8;11,1;9,6;12,8;28,6;30,5;6,9;25,4;1,4;9,8;5,0;7,5;9,7;11,9;9,6;11,6;14,9;18,4;16,35615;13,3;6,4;24,5;13,71;19,0;15,5408;6,28565;3,51531;19,8189;14,5873;5,95429;14,3203;27,5808;32,6835;19,4533;25,6468;17,377;12,2693;24,8324;4,83842;49,0006;49,8998;4,89789;9,94559;8,6;6,16;2,151;29,6;12,03;21,29;23,31;16,59;;12,76;39,99;22,16;29,564339;16,41;4,95842;4,81194;6,30482;;6,5;11,4;1,5;8,3;6,04031;7,00589;19,5125;18,6988;10,6838;9,3279;10,542;6,4283;;6,1213;6,394;2,624;2,9509;3,386;6,16513;6,70141;;8,9232;6,59587;5,3771;;10,2;;;6,0;8,1;0,89;13,2321;14,6889;6,99526;7,91993;10,3529;4,58083;6,80035;8,69854;9,31754;11,1783;9,37783;6,53483;5,29358;6,01536;7,32402;8,5323;6,84018;4,47684;1,96989;5,88524;12,104;1,86;14,3056;17,0451;25,0938;12,3764;16,0;32,6586;43,3239;9,3279;31,6633;1,54207;35,5202;6,63676
07.08.2017 01:00;10,232;3,1378;6,0945;11,9171;7,23161;14,3342;2,99913;22,4687;13,5771;10,4422;12,7068;39,9613;30,182;20,1413;16,0762;19,9209;25,3;17,0;28,5;12,9;7,2;7,9;32,0;18,0;15,6;23,4;1,3;7,6;5,3;5,7;8,0;15,05;11,7;10,8;11,2;16,4;12,39624;11,0;6,5;22,2;11,7;11,6;17,7003;7,3825;2,65901;17,1034;12,068;6,45512;11,1942;22,3237;30,1156;9,16314;22,6577;10,3949;9,72047;26,2059;5,98611;32,3173;26,8433;4,37165;4,47939;12,011724;5,66;2,629;24,6;12,53;22,49;22,51;6,39;13,74;10,86;22,69;19,86;25,264772;12,71;4,42309;4,05926;5,49063;;3,7;10,2;2,4;9,7;6,40784;8,74097;18,8358;5,57348;7,21328;9,33693;12,7781;4,1922;;7,3852;5,4967;2,0828;2,7111;2,3753;7,93623;3,35366;;6,82429;4,65731;3,8446;;10,2;;;7,0;10,2;0,935;10,1851;11,7673;7,2725;8,23116;7,30012;5,71741;7,18434;8,126;14,8157;10,2743;7,75157;7,81322;3,42673;6,04882;7,16256;6,39564;9,43731;2,62391;0,23156;9,14839;14,6958;1,38;10,1373;11,1414;26,3792;9,09149;24,9081;28,3895;37,5745;5,09123;22,5568;5,01924;31,9224;6,33509
