Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
04.05.2018 05:00;4,41778;31,0286;6,17473;9,10537;6,50292;5,49566;21,8265;16,1841;7,18371;2,76018;11,4184;22,4554;8,67464;10,6265;6,03236;12,1311;18,4;10,2;3,9;4,4;2,6;4,0;24,0;5,5;6,8;37,1;2,5;11,1;8,7;12,9;2,5;29,4;2,2;8,7;12,4;27,8;21,2;5,2;17,9;18,09;;15,0905;4,77708;13,0823;7,36757;4,36839;7,27622;9,19624;41,8601;22,5939;18,7923;19,4477;28,0583;16,8559;6,65463;5,66598;9,59824;13,8228;13,409;23,0608;7,379929;4,21;2,48;5,5;7,6;4,76;25,62;20,9613;10,07;17,88;17,343254;17,24;22,13894;;4,42576;;4,6;6,1;4,0;4,8;4,72498;5,41605;12,6135;7,52216;13,7607;18,5547;10,8809;5,62077;11,054;8,54553;6,18731;4,87939;5,80925;32,0762;7,34751;9,29612;;17,6232;9,01189;4,98868;16,5;;4,9;7,0;3,5;1,16;20,5153;8,97631;11,8454;7,8238;10,815;6,40095;23,0327;27,715;13,6364;11,523;8,76599;10,5951;9,31728;6,21612;5,29518;10,7306;7,59542;3,85825;6,00102;6,35368;6,18744;2,7425;8,55963;13,0816;5,95834;7,62965;6,22019;9,32352;7,98791;11,8795;34,7843;27,818;10,5198;19,9326;10,0932
04.05.2018 06:00;5,54852;17,5272;9,45986;15,0691;7,8562;5,84076;26,81;35,3512;7,76164;2,14356;10,6121;40,159;8,93223;12,8115;5,86347;21,4942;17,2;9,6;3,9;9,4;8,4;3,8;25,0;6,7;8,6;40,3;1,8;8,1;6,1;8,7;2,6;36,6;2,4;8,8;15,4;34,4;27,4;6,1;18,1;16,15;;17,1554;5,38053;14,9333;14,3697;6,38767;11,9872;9,49829;42,4676;22,2168;28,9822;23,1485;41,704;16,7045;15,9453;5,41582;10,6482;14,7163;14,4473;22,2674;9,119962;4,81;2,17;7,0;9,0;5,56;30,72;23,21415;17,47;16,18;38,046353;20,74;24,7988;8,28094;5,60401;7,13335;5,3;9,3;3,6;4,5;6,78772;4,58964;13,331;8,60811;16,7841;16,6346;14,4292;7,21319;11,7182;8,89192;10,0379;5,97318;7,34705;27,2427;10,2112;16,5825;;22,0151;16,2058;7,70089;25,9;;6,5;13,0;4,8;1,21;23,6449;11,5559;10,5712;8,71235;12,5921;5,99731;20,1466;14,3257;8,30814;11,2973;7,87532;15,674;12,5937;5,80345;9,18822;12,5815;8,44254;5,16331;4,90587;8,36553;7,95286;2,73336;9,00762;10,2212;6,95831;8,66949;8,76322;15,2232;10,3349;12,0354;46,847;34,6731;14,2477;26,6663;5,59154
04.05.2018 07:00;6,06848;10,7051;9,39719;14,0638;10,3599;6,66529;20,0176;18,5768;9,97463;3,2589;8,5631;44,4551;8,04315;11,0471;8,59019;14,589;13,1;10,8;4,2;6,9;6,1;4,5;15,0;6,5;9,1;33,9;1,7;6,4;4,236136;8,7;4,8;19,7;2,7;8,7;12,3;31,0;20,4;6,1;12,8;15,22;;17,866;12,0543;10,2591;6,46097;7,56864;9,91638;8,66577;49,3758;22,3039;15,8303;28,2912;26,8624;17,8395;14,5465;4,83479;7,59754;15,9331;12,5856;19,6437;8,508333;4,91;2,01;10,7;8,1;5,66;24,22;10,08885;27,87;21,98;49,549451;23,24;19,85906;7,21128;7,15739;7,39997;5,2;13,5;3,5;5,8;8,43223;6,19253;11,7218;6,20125;17,3012;14,1619;14,047;10,3548;9,62957;10,0532;16,952;6,07427;8,67592;34,4754;11,782;20,7606;;33,5445;24,4548;11,0981;21,7;;8,4;15,0;3,8;2,49;35,4345;18,65;13,3314;8,93807;9,4575;7,24011;14,9301;10,9223;11,3738;6,14549;8,70597;23,2995;12,4939;6,64048;5,59791;12,0307;10,4724;6,14388;5,08326;5,98297;8,68101;2,74478;7,65929;9,10484;13,1939;8,00826;8,00992;21,6848;9,95568;13,8592;48,2928;34,3193;9,6594;22,8133;8,64118
04.05.2018 08:00;4,12673;6,63995;8,43214;5,41181;10,1702;7,04247;14,143;17,4374;10,8385;3,23234;7,23798;37,8162;8,27561;11,8401;9,57912;8,48962;10,7;9,3;3,9;10,4;5,0;4,4;17,0;6,3;6,1;38,4;1,5;5,1;5,26;11,6;10,9;12,9;2,7;7,7;9,8;17,5;14,9;5,1;12,0;14,37;;12,8279;5,37883;6,61446;5,76521;6,76837;8,48131;5,23033;55,696;14,282;11,9362;24,7423;13,4614;14,9752;7,07586;4,77955;8,20567;16,1954;11,1245;13,4345;7,448212;4,51;1,68;12,5;6,6;5,46;20,12;16,2597;17,37;19,68;74,75255;17,84;20,42903;7,14808;6,67004;7,88116;4,5;14,2;2,7;5,2;8,01947;5,11066;12,4791;9,9971;15,7794;10,5117;8,59449;8,05723;9,59122;8,54861;8,63826;5,61491;7,89983;22,5963;8,66058;17,8254;;38,6281;14,6507;10,1602;12,7;;7,5;9,0;5,6;1,78;31,434;22,0863;10,8403;8,67358;10,4124;6,58578;14,4696;10,9308;;6,1662;11,2649;22,5744;12,1654;5,97128;5,3127;17,7099;12,7313;4,80736;7,53859;5,29571;9,48989;2,92073;5,46291;9,01287;12,2021;6,78058;7,87881;5,65425;7,26826;10,2944;20,4858;30,8384;9,01017;17,5962;12,0076
04.05.2018 09:00;3,78842;4,19153;7,62567;4,95682;10,5808;7,39779;13,7632;14,4466;11,5054;2,60404;6,95915;33,6666;7,11967;9,8861;9,29179;6,77927;11,3;8,5;4,4;9,9;3,5;4,7;15,0;6,1;5,9;31,7;0,8;4,7;4,156098;13,8;7,9;20,4;3,1;6,9;11,6;23,1;16,2;5,0;7,7;12,1;;10,2828;4,69311;4,74335;5,43852;;5,76096;6,12467;46,8557;11,558;13,0176;23,9297;10,7317;16,6179;8,57949;4,77424;8,95188;15,4778;7,99265;6,55816;6,347971;4,31;1,42;12,6;7,8;5,96;15,52;12,3417;10,47;15,28;72,455649;12,84;20,42903;8,5316;6,87066;8,26515;4,6;8,4;3,1;3,7;6,37843;4,93964;15,3502;10,6849;13,9054;8,95132;8,91462;5,99212;9,27016;25,873;7,76281;3,83054;6,74831;7,99953;6,72738;6,82888;;41,5365;10,4135;5,28998;9,3;;7,6;7,0;6,6;2,1;38,5271;20,1392;12,6442;10,1602;10,2643;5,5995;13,1126;9,50785;8,77549;8,19717;9,48777;16,6662;8,06545;6,11574;5,46673;14,9826;9,76093;3,96792;5,99731;5,20914;7,46583;2,56881;5,02638;7,15662;9,72198;5,58735;7,67952;3,38298;5,56291;8,63543;23,1428;10,5585;9,13324;12,1266;4,66378
04.05.2018 10:00;3,66626;4,44965;10,0088;6,82159;8,33685;7,12343;13,2794;13,437;9,09582;2,26731;7,9518;26,8068;5,55914;9,30932;9,19247;6,81129;12,3;9,2;3,8;5,2;1,8;4,8;17,0;5,8;7,2;43,4;0,7;4,4;3,8;8,6;2,6;20,6;3,0;7,1;9,9;21,0;13,2;6,5;10,8;12,44;;11,1815;4,25925;3,11656;6,10087;4,62916;5,13584;5,92231;46,4807;10,9068;16,1774;22,1208;9,4091;20,5965;9,3206;4,63987;7,0181;17,6823;9,4005;5,72591;5,036238;4,31;1,26;9,6;8,5;5,36;15,02;11,5581;10,97;16,98;59,758747;14,24;17,57918;6,18996;6,28284;7,59276;4,5;9,4;3,6;3,4;3,43816;4,62416;11,4713;10,2303;12,766;8,31783;6,42249;4,2859;6,4125;9,77075;5,6449;3,13071;6,89543;18,681;7,4251;2,69808;;39,404;;3,58687;8,0;;7,3;8,0;5,3;1,75;48,5955;17,9;17,0046;8,12494;9,20894;5,22242;12,5098;12,8334;7,37912;5,45345;9,87636;16,6038;6,46044;5,09601;6,47265;19,3287;5,8316;4,12551;5,45059;3,64448;6,90604;2,46992;4,83561;6,44675;9,51918;5,11156;6,84746;3,08744;5,34078;8,4541;19,0097;11,4577;6,97385;14,2667;2,27998
04.05.2018 11:00;4,08053;5,67067;9,14837;5,77796;9,84043;6,59664;15,2308;12,5535;10,6064;1,92475;8,84685;24,787;4,70405;8,91364;7,47751;6,35071;12,8;7,7;2,9;3,6;1,2;5,2;15,0;5,9;6,7;24,4;0,8;4,4;4,5;10,2;3,9;20,1;3,3;6,5;11,7;18,8;12,5;4,9;10,6;17,63;;9,67483;4,37901;3,19463;5,82974;5,05034;4,21702;5,3945;49,5426;13,2867;11,9537;27,6449;9,88115;12,6128;7,94683;5,26339;6,64314;15,3064;8,08993;5,17143;4,368017;3,61;1,27;8,4;8,6;4,66;14,32;19,0023;9,77;19,48;68,461846;12,04;17,00921;6,7386;6,46574;7,37554;4,7;12,1;4,2;3,5;3,40133;4,54874;9,80069;13,0696;11,7779;8,8979;3,80103;4,47945;6,85507;10,3033;6,15748;3,83457;8,91014;14,0855;8,10368;3,10822;;31,3947;8,57607;6,76352;9,4;;6,9;7,0;5,0;0,95;47,7082;14,6098;13,6294;7,48229;10,7582;5,33395;13,6602;10,3141;6,37223;5,19852;8,4537;21,6185;6,51089;5,27393;7,40688;12,1646;4,3344;3,93788;5,65296;3,50765;7,77122;2,51386;4,50534;5,55958;9,32445;6,10639;6,64919;3,94959;4,73596;6,72556;13,9562;11,0152;5,21052;24,0349;1,57793
04.05.2018 12:00;4,40026;4,94093;7,20701;5,2102;8,3719;6,04086;14,5318;12,2339;10,9533;1,895;8,0094;26,5035;4,47461;8,60294;6,48009;6,87191;13,1;8,2;2,8;3,7;1,2;5,8;15,0;5,1;7,4;26,9;1,1;4,6;3,9;8,8;3,1;24,7;2,9;6,8;10,3;33,1;14,8;4,2;10,0;18,91;;10,0297;4,31188;4,22711;4,70724;4,36998;4,92234;5,20834;62,977;11,4093;9,46228;31,1677;9,65108;15,1292;6,56307;5,16461;7,8546;18,2669;7,94488;4,91384;4,511226;3,91;1,13;9,1;7,4;4,56;13,22;10,67655;15,37;21,78;64,564944;12,94;16,05926;5,87766;11,5222;7,63525;4,8;10,8;4,2;2,8;3,49494;4,28212;8,70819;11,7636;11,8076;8,75466;2,12253;4,59327;6,53339;8,07602;8,46586;3,51096;13,022;14,5271;7,62862;2,31207;;35,2411;8,22426;8,70681;9,2;;7,9;7,0;3,2;1,02;47,7257;12,4466;13,418;9,2339;11,4566;4,93774;11,7423;9,41554;;6,80566;9,26152;15,8773;5,46248;5,64784;5,82948;13,5316;4,26376;4,07558;7,47698;3,89727;6,91241;2,4583;4,78079;4,60921;8,83776;5,83016;6,12192;3,69853;4,74533;7,32892;19,5718;10,1113;5,57972;18,9251;1,77019
04.05.2018 13:00;4,77628;5,67864;6,67987;5,24207;7,26241;6,51724;14,9438;11,4776;9,70581;1,64591;7,41091;34,0177;4,12567;8,95825;5,61862;4,86775;13,3;10,3;2,7;4,2;1,0;5,2;15,0;4,4;6,8;17,8;1,1;4,9;3,4;7,0;2,2;27,7;2,9;6,3;10,9;34,6;15,0;4,0;7,8;12,05;;8,03094;4,4695;5,62022;4,19843;3,83675;3,95359;5,21907;55,5335;12,2431;9,2578;22,7326;9,88693;13,5327;5,37185;5,27083;7,32243;15,0383;6,73798;5,54374;3,959113;3,11;1,14;7,3;7,4;5,16;13,12;26,34855;10,47;21,58;55,868043;11,94;16,05926;5,33487;3,83455;8,33844;4,4;8,5;3,1;2,5;5,64311;4,80952;10,3237;7,82964;11,0177;7,40084;3,6095;4,63709;7,6378;6,63718;4,90772;3,40897;11,8954;14,0616;7,82204;2,99438;;26,3549;8,5015;6,01532;8,9;;11,4;6,0;3,2;1,14;38,3019;13,6979;10,7768;5,27818;10,6259;4,53834;10,6791;6,13062;11,2322;6,10672;7,26453;15,3906;6,20603;5,71316;6,95596;12,6856;4,63713;4,37269;7,37182;3,86224;6,10725;2,09551;4,74707;4,49416;8,06478;5,38258;7,02776;2,72889;5,214;6,68578;18,0562;10,047;6,21688;17,0598;1,75054
04.05.2018 14:00;4,76194;4,23189;7,00435;4,33705;6,5725;6,17272;13,5019;10,4392;9,58384;1,8557;7,39254;30,3079;3,93288;9,39164;9,00286;5,95709;15,7;8,6;2,8;1,9;1,1;5,2;15,0;4,3;8,3;23,6;0,9;3,5;3,2;9,6;2,4;25,6;2,7;6,9;9,0;36,4;14,1;4,6;8,6;9,76;;11,0158;4,32351;4,54578;4,75238;3,585;5,39237;4,68286;64,9676;13,1465;11,5267;26,5062;10,3039;21,2253;5,84895;4,73547;7,3203;17,0927;4,74395;6,14018;3,438617;3,51;1,16;6,3;7,2;4,26;14,32;19,3941;11,87;20,68;53,771142;12,24;16,81922;6,0216;4,29591;8,18867;8,2;7,6;2,9;2,6;6,63762;4,93911;12,6787;10,1645;10,1764;7,43307;15,8131;7,03586;7,8827;9,65696;5,05415;4,58392;11,371;13,0913;8,9336;2,26881;;23,4903;7,96613;7,16206;10,9;;8,0;7,0;2,3;0,86;41,5919;12,1917;10,2611;5,31589;9,86751;5,11513;10,4401;7,21621;;6,96977;7,62835;12,914;5,88684;5,71051;8,88868;10,9876;4,56702;4,16774;6,02864;2,58173;6,6272;2,05347;4,85493;4,52819;8,20808;5,36682;6,65861;3,51867;5,29276;6,14189;23,649;10,6467;4,70287;18,8247;1,35327
04.05.2018 15:00;5,06096;3,65298;7,07944;4,03591;6,57462;6,90172;13,9889;11,91;9,40535;1,82118;7,81211;35,3932;4,00564;10,3641;14,0898;6,30011;21,6;9,8;2,8;6,3;1,7;4,7;14,0;3,0;7,3;21,3;1,2;3,9;3,8;6,6;2,3;24,8;2,8;7,2;11,8;39,1;17,5;5,6;7,3;9,73;;10,0114;4,40063;4,66794;4,18994;3,57225;3,52711;4,59268;69,9086;12,3621;11,7652;34,6529;9,68319;12,0477;5,20789;4,50868;7,86522;17,198;3,79509;8,87646;3,590063;3,51;1,21;7,6;7,7;4,06;14,42;20,1777;10,67;19,28;60,87424;12,84;17,1992;7,23784;3,80374;8,34269;5,6;9,0;2,9;2,6;3,57672;4,27416;10,713;11,5846;10,3539;7,86517;12,9622;5,70603;9,19526;9,97413;6,34275;4,0578;4,91876;9,31737;9,11254;2,24018;;25,286;10,1235;4,61405;9,9;;6,8;7,0;2,2;1,07;36,3296;12,2649;9,19353;6,3728;9,31038;4,76832;10,781;10,5914;;6,8046;8,92001;12,0575;6,79026;5,92879;8,09785;11,319;4,28182;4,07207;5,19374;1,68681;6,74352;2,16505;5,01271;5,02615;7,5076;5,89955;7,35725;4,31761;5,52747;7,3215;19,6882;12,4338;4,56201;26,0813;1,10896
04.05.2018 16:00;5,18524;4,40557;9,1823;4,04547;5,96491;7,03815;16,0682;12,0605;8,70265;1,95927;7,00323;34,0469;4,09487;10,5877;7,69261;5,22729;25,0;10,3;3,0;3,8;2,1;5,6;15,0;4,7;6,9;24,7;1,1;4,5;3,8;8,2;2,3;23,0;3,6;7,2;11,8;35,2;17,4;5,9;8,4;10,95;;11,7907;4,52884;6,95649;4,70724;4,08478;3,7847;4,57361;66,7421;11,0646;10,6313;29,892;8,70478;11,9643;5,2198;3,89684;7,62091;19,1686;4,01182;24,0498;3,786943;4,01;1,2;8,5;6,4;4,46;14,32;15,18225;12,27;19,28;62,577339;14,14;21,56897;6,09595;3,18058;6,36218;5,3;10,9;2,9;2,5;3,01188;5,66461;10,5473;8,46538;10,4783;7,95487;7,63835;4,79873;7,12726;10,1552;2,92924;4,06724;5,48886;11,5444;9,06472;2,86047;;28,538;8,68685;3,11075;10,3;;7,0;7,0;2,4;1,81;36,9258;12,8024;13,6219;9,05969;8,58488;4,78584;11,642;8,01447;6,16395;5,73441;9,18185;17,0617;12,1269;6,50877;3,36671;9,94187;3,6737;4,58915;5,47841;1,68681;6,15186;2,51115;5,16975;6,76826;8,06275;5,76161;7,72095;4,53104;5,96794;8,38432;20,6213;12,1895;;22,2218;2,33052
04.05.2018 17:00;5,20595;3,52445;8,81051;4,46027;6,90232;6,81641;21,6608;14,4374;8,85454;2,14091;7,53434;44,735;4,11452;11,5888;8,21204;5,76826;24,1;10,5;3,0;4,7;2,7;6,3;16,0;5,2;6,9;27,3;1,1;5,6;4,0;8,1;2,2;23,3;3,6;7,8;12,1;41,2;17,5;5,2;11,2;10,39;;10,5728;4,89435;5,12044;5,27606;3,95572;4,94305;5,56461;76,0477;12,5968;12,0238;32,197;11,0958;11,6552;6,23693;4,386;8,60347;17,4975;3,73058;27,28;3,901723;3,91;1,27;7,6;7,1;4,66;15,72;8,2278;11,57;20,08;65,180437;15,04;21,94895;7,43223;3,28619;4,24889;6,4;10,0;4,8;2,9;3,42059;;11,4906;13,8344;10,5495;8,60336;4,66308;5,98799;9,13701;17,536;3,26848;4,08696;4,75815;9,11226;11,3673;3,50557;;25,6749;8,36022;3,37485;11,9;;8,6;7,0;3,1;1,87;37,4081;14,4951;14,4377;11,7036;10,3365;5,08858;9,73102;8,60772;5,3974;6,36802;8,67889;15,7122;10,7847;6,40945;3,89942;12,4631;4,21384;4,82789;5,96172;2,04478;6,56294;2,63655;5,26997;6,20081;5,87178;6,26808;6,36223;6,59696;5,17326;9,89572;18,0617;10,9122;6,46238;20,4813;2,82232
04.05.2018 18:00;5,67545;6,1901;11,3594;5,32811;7,23586;7,67351;14,8276;15,5769;13,0893;2,86428;8,62471;44,0849;5,36741;12,5257;8,33154;7,23405;15,6;11,3;3,4;9,6;3,6;6,9;16,0;6,4;6,5;19,6;2,3;6,2;4,4;8,2;3,1;18,9;4,3;8,5;16,3;40,9;21,7;6,6;8,3;10,96;;12,9655;4,6025;7,97623;5,79618;4,79965;6,92781;6,67909;75,7301;16,6545;12,7977;36,3535;13,0409;16,7295;7,11542;5,42113;10,3057;28,6501;4,13924;37,0886;4,241281;4,41;1,44;8,4;8,4;5,26;16,82;21,45105;9,67;21,58;50,383536;20,74;21,75896;8,7781;4,55817;4,66156;5,5;10,6;3,3;3,5;3,89084;;13,4621;6,31916;12,3935;10,8193;13,7113;6,90947;10,3454;9,29976;5,60383;4,91308;5,6299;13,0589;13,8424;3,46698;;26,0222;10,0777;4,99559;13,0;;9,8;9,0;3,9;2,26;48,0315;15,5095;14,7059;10,8341;12,9501;6,18691;16,2541;9,60886;5,78153;8,7628;8,85415;21,1709;10,0672;8,00969;4,68599;14,4032;5,00041;5,57627;5,975;3,65458;6,96871;2,40533;5,92952;10,3121;6,88236;5,63876;6,97896;5,145;6,53991;12,3076;21,2791;12,3876;6,73837;19,9793;2,52968
04.05.2018 19:00;6,53851;5,99678;12,0774;7,26719;7,69208;7,72419;19,9703;17,5528;17,1114;2,75753;10,6552;47,544;8,4521;18,6478;9,1128;10,6449;16,4;12,2;4,0;11,7;6,1;7,2;18,0;8,3;7,4;26,3;3,4;8,2;4,055907;9,2;2,6;22,2;4,8;9,3;19,0;45,3;21,5;7,7;9,1;13,65;;14,0798;4,70857;11,0997;9,70486;6,20202;10,2696;9,95419;77,0111;19,0541;16,1022;35,7459;25,946;18,7514;11,3858;5,80725;15,953;44,922;5,68348;27,6751;5,405022;4,81;1,93;9,8;9,0;5,36;18,22;20,1777;10,67;24,58;69,786635;22,14;20,42903;12,0083;5,37845;7,03935;5,4;8,5;4,7;4,2;6,87575;10,026;16,9584;6,03183;15,3024;17,5252;13,8929;9,10206;12,0938;11,3553;9,51029;6,15445;7,51151;13,0254;17,6045;4,14879;;23,7765;9,37146;6,13223;16,4;;8,1;12,0;4,9;2,56;48,734;14,1812;8,44761;8,02774;16,3184;9,93178;13,4185;11,9697;5,48728;12,872;10,4677;23,0969;10,6482;12,6006;5,95482;16,3386;6,21984;4,72969;6,18532;4,669;7,66553;2,37288;8,64313;13,3107;9,18767;6,19227;7,84991;11,9163;8,39493;11,3124;23,9855;15,1218;6,33949;23,8803;2,81276
04.05.2018 20:00;9,57806;6,05679;12,4242;18,1725;8,33738;8,30678;29,389;24,6893;24,4605;3,57491;15,1823;49,8246;15,8436;22,1882;10,055;20,2543;17,4;11,8;4,7;7,3;9,9;8,9;23,0;8,2;12,4;36,4;3,1;9,1;4,765888;11,9;3,1;20,9;5,1;14,8;20,0;43,9;39,1;10,2;11,7;16,62;;12,4716;4,60218;19,2586;15,2891;11,7737;15,6779;8,46974;61,27;19,0843;16,1277;31,6128;70,9498;19,333;8,59951;9,097;26,3304;34,3931;5,6797;30,3827;6,660694;5,71;2,22;11,1;8,5;7,66;23,12;35,55585;11,47;27,98;69,789733;26,34;15,86927;14,974;7,30829;9,50848;8,5;11,0;3,8;3,3;8,09339;10,5836;13,504;8,3496;19,9806;23,1546;4,50628;11,528;20,025;14,1655;15,1972;8,06036;8,27708;9,46244;21,1274;5,69755;;20,8463;24,3031;6,06687;16,3;;7,6;9,0;5,9;2,41;57,7623;13,947;12,7263;9,21106;18,3695;10,6493;15,2381;13,8365;7,10004;14,3963;12,8725;19,3734;8,35703;15,6641;6,18054;26,2427;7,32349;4,78146;7,74944;5,72166;8,12228;2,38427;12,6344;13,9605;11,7521;10,7202;10,4904;20,7432;28,0252;22,6716;41,3842;14,1414;9,12102;24,9367;4,28713
04.05.2018 21:00;7,01863;6,13115;14,6598;25,0987;8,30605;8,73168;27,3729;27,7437;23,6087;3,08682;11,5708;48,2116;16,3688;31,9161;11,5591;23,9141;15,7;11,1;4,2;9,4;6,5;6,9;16,0;7,3;9,6;40,1;2,7;7,9;6,9;8,5;3,1;11,4;5,3;13,9;22,6;41,2;38,8;12,3;13,6;18,18;;15,6412;5,39689;8,65817;15,6439;15,5955;20,9787;7,5891;53,2779;15,0819;15,4113;26,7781;60,0457;14,75;8,26596;9,9834;16,6084;18,9758;6,28289;32,4196;6,408816;6,11;2,37;10,9;7,9;7,66;26,02;19,0023;11,07;29,68;49,191545;27,74;13,77938;11,5632;6,60869;6,66438;7,7;12,9;4,5;3,1;9,8761;7,1973;11,2861;5,08645;19,6042;16,9619;9,97953;18,2195;18,9106;22,5282;4,93638;5,6888;18,4362;38,2196;22,4003;17,9301;;23,5421;17,8995;24,1054;11,9;;7,2;8,0;5,0;3,64;35,6411;13,8471;14,4188;9,67525;16,678;8,46113;12,0196;12,5292;6,48884;14,1589;16,653;15,7615;7,39572;7,87691;6,69094;29,3349;9,49998;4,33633;7,59595;4,90587;7,97463;2,81748;18,5796;16,2944;10,3925;12,893;17,0915;18,0203;33,0993;30,1964;71,3739;13,7967;9,00733;29,6652;4,35246
04.05.2018 22:00;6,4445;6,9788;17,5531;20,7027;8,35597;8,76757;34,6284;24,3102;24,0001;2,95245;11,7285;47,6136;15,774;35,9817;15,9657;27,6767;15,7;15,0;3,7;7,0;3,6;7,8;13,0;8,7;8,1;26,3;3,1;5,9;7,6;7,4;2,6;10,2;5,2;10,6;18,0;33,8;27,6;11,1;13,1;18,87;8,8;10,5473;5,85295;9,25727;16,3279;8,02668;;7,27346;46,2975;13,2655;11,1698;22,7215;45,2238;12,1784;7,55165;7,73678;12,0759;19,1789;6,19909;21,4914;7,579997;5,11;2,17;10,6;8,1;7,26;26,22;16,74945;9,97;26,68;44,893235;26,04;13,3994;9,708;6,3151;6,36962;5,5;14,5;4,1;3,3;9,9908;6,13252;13,973;5,34616;18,6272;16,2495;;39,8633;31,484;28,69;13,1507;4,44616;44,4674;32,0879;31,26;17,62;;18,4447;19,3864;14,8539;13,4;;6,9;8,0;4,5;3,72;26,6896;19,1301;12,7929;7,76166;11,8427;7,60976;10,5112;9,0172;12,6866;10,9324;13,922;14,3418;10,0608;7,52425;7,30756;15,0124;11,0662;3,98004;17,2096;3,22862;7,28738;2,78315;16,5829;19,2397;8,15488;9,97925;12,975;9,07361;22,5204;22,3996;84,9275;14,5896;6,60073;23,7093;5,3366
04.05.2018 23:00;5,92932;10,0592;13,5753;20,7471;14,8892;8,13229;34,9944;24,1383;24,475;3,53348;21,2413;33,6631;17,5012;35,8107;15,0634;26,7571;13,1;13,2;3,8;6,3;2,4;10,9;13,0;7,5;9,0;17,2;2,6;4,2;9,1;6,9;2,6;8,3;5,1;9,0;9,4;19,5;10,7;10,8;7,4;15,59;7,9;10,5815;5,27516;6,28443;13,2109;4,48683;8,39416;8,19175;34,9604;9,7309;9,53557;;43,6588;10,6137;7,106;6,59489;16,7236;23,6626;5,756;29,133;8,576085;4,21;2,15;7,3;7,6;5,96;22,32;20,27565;7,07;22,58;44,294925;15,34;11,30951;8,13754;5,03917;8,19664;5,9;9,9;7,2;2,4;8,19647;5,55679;11,7901;5,45026;14,1486;17,0071;32,0214;23,3279;19,7253;19,5043;;4,01828;15,0536;32,4131;19,0721;13,1798;;17,7952;21,0607;14,2503;13,6;;5,9;7,0;3,5;3,22;19,0629;14,0505;9,19725;7,52903;10,0008;7,10361;12,9198;12,5788;10,4885;5,92189;12,2214;15,7224;21,1159;6,58737;8,04315;15,5127;11,3456;3,05196;10,2791;2,98697;4,66209;2,8041;17,3286;18,1004;4,80147;10,141;11,0674;30,1281;9,32589;17,836;74,5568;13,1089;4,84957;18,8773;7,55399
05.05.2018 00:00;5,48054;15,5276;12,3656;19,3217;16,9759;7,91351;24,259;23,1784;22,2441;4,47408;34,7681;28,4405;12,5073;15,9933;12,2888;12,6501;15,3;12,6;4,2;6,1;2,2;10,5;15,0;7,6;7,6;13,3;2,4;4,1;10,3;5,4;2,3;8,9;4,7;8,6;8,1;16,3;9,3;8,5;5,5;13,62;8,1;9,14786;5,53827;4,80071;12,8051;4,52029;7,12979;6,68233;34,9365;10,1479;10,7385;14,161;30,5161;8,23435;5,5695;6,59064;13,896;17,823;5,95701;38,3367;7,402513;3,81;1,94;6,1;4,9;4,96;18,22;18,4146;4,97;21,48;46,596615;9,74;9,40961;7,86402;4,87896;8,38093;4,4;6,7;5,2;2,2;6,84486;5,81863;9,88823;4,75876;10,1641;13,1667;23,8945;11,618;12,0724;14,3291;12,2275;3,6304;4,67401;45,7005;16,5761;12,4244;;16,1335;13,8376;9,7664;16,0;;5,7;8,0;3,2;3,3;15,8567;10,4953;8,3172;6,65482;8,59125;8,66773;11,8788;10,1872;7,98252;4,76247;9,14892;15,1496;14,0107;9,39323;8,06758;9,54619;12,3175;2,89015;9,92487;2,81861;5,00041;2,84221;14,2092;12,5873;4,61813;9,41423;14,1919;18,3411;7,90384;12,0046;75,0632;8,47388;4,22366;15,5679;12,7461
