Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147
20.08.2019 11:00;4,68174;13,2613;7,46574;7,86682;12,7661;4,10124;11,865;5,06909;11,1493;3,19092;12,7302;50,1786;3,70731;8,8875;5,85444;7,62463;34,1;38,5;10,7;27,2;15,717081;9,3;13;11,4;1,686367;10,5;10,1;32,9;1,9;5,2;2,1043;6,4;6,6;9,45;28,14;3,7;7,7;16,2;36,4;;3,3;9;8,7;5,5;25,2793;8,45833;9,44979;2,65556;5,57879;7,60603;15,3571;11,2341;58,7499;12,5565;9,95408;53,1918;6,45088;10,4034;7,08661;3,8;6,09951;24,5143;3,27588;;6,918;3,56;2,43;19,55;9,5;9,51;19,3;8,92;;16,94;72,16;19,26;13,86;23,9;8,13078;5,60314;3,8721;14,9242;8;1,3;4,7;3,62539;3,47028;6,60968;4,34449;9,79138;49,6573;7,77228;;7,36789;7,03331;8,30806;4,30879;4,04494;9,45925;9,7749;;44,7562;11,8361;4,1985;5,07689;12,7;7,1;9;26,6737;9,5037;31,0397;6,2942;9,23605;;11,0572;29,824;16,7628;5,5533;13,0112;13,1634;10,8246;17,7714;3,52286;4,54525;11,5506;6,84033;3,60996;3,95359;6,00156;8,25878;1,17429;7,4135;4,78128;5,94916;23,4208;5,61062;5,08891;28,1834;25,5505;19,3919;25,4976;6,98841;4,83326;2,89774;6,94951;25,7779;2,27847
20.08.2019 12:00;5,18418;7,88169;8,13398;5,10982;1,434;6,29632;8,42448;3,992;6,16524;2,89031;7,2437;59,0337;3,08785;9,35547;6,84124;6,31544;16,3;14,2;5,6;35,5;5,819326;8,8;11,3;9,8;1,472735;;6,3;32,2;1,5;4,6;2,94602;5,1;5,3;14,4;25,62;2,3;5,3;9,3;32,2;;2,5;9,4;8,3;4,5;23,9393;8,25833;10,9104;2,71557;3,3136;5,83346;13,2231;8,26356;51,326;11,6366;7,15194;64,9814;7,33093;11,0561;5,1234;2,9;5,14138;25,4819;5,00175;3,82506;4,866;3,26;2,43;13,45;9,2;4,01;20,3;10,12;13,42;20,34;61,66;16,86;9,26;20;6,21878;4,54309;2,957;12,4732;4,6;1,1;3,5;2,78853;3,31679;5,48638;3,26208;9,25582;50,0089;5,54055;4,3247;8,53232;9,99518;8,24823;4,45792;5,0261;6,86767;7,24549;6,20366;6,13382;6,98968;3,78409;3,98435;8,8;10,6;5;27,6778;10,2255;27,5355;5,06043;14,3825;;12,4816;35,2132;10,2241;7,84451;10,3381;12,8296;8,18325;13,8265;3,08098;4,43;6,03661;5,07722;2,47445;3,54942;5,85444;6,49283;1,19237;4,15824;5,55849;9,96229;19,6873;2,40041;5,55313;12,3552;14,9828;9,41235;23,9775;7,28417;4,73781;3,14896;6,6668;16,7874;2,12498
20.08.2019 13:00;4,14107;6,68988;9,1429;3,49365;0,74302;7,32986;9,59771;2,74188;5,06932;4,65466;13,6024;57,7871;2,11332;7,79321;7,10202;4,7168;18,2;9,4;7,3;42,1;3,093184;4,9;5,3;9;1,319326;;4,7;39,3;1,3;4,3;2,27647;7,9;6,9;20,52;24,92;2,3;5,7;7,4;35,4;58,7;2,5;5,4;7,3;4,6;26,2196;4,32944;11,4597;4,97917;3,70344;5,16869;10,576;7,55134;62,4091;11,1675;6,09503;84,5789;4,89684;12,0674;5,36729;2,1;4,83971;23,141;2,38433;3,16542;4,997;1,86;2,83;17,55;10,3;6,41;14,6;5,52;6,82;16,94;56,06;21,46;11,86;19;9,28648;4,19641;2,64152;7,47352;5,8;1,8;3,3;2,46668;2,6359;4,10761;3,61315;9,59402;48,9833;5,01634;4,23057;6,84875;6,08476;7,17949;4,59895;3,51844;5,77513;6,43937;6,93235;10,8589;;4,6927;8,59571;8;12,7;6;28,7418;11,3222;26,9528;4,66316;17,9037;;13,8254;27,4473;12,1574;6,66757;13,4886;13,3222;7,17212;12,5532;3,4416;4,07522;5,60428;4,52007;1,89022;3,18879;5,52196;4,86179;1,47884;3,25967;3,41171;8,19246;16,1003;1,48776;3,45233;8,20832;7,65179;7,19549;36,9367;7,75684;5,64306;2,71185;4,9972;17,8416;4,90056
20.08.2019 14:00;4,45124;5,00519;8,18682;5,62978;5,2341;8,7628;12,6469;5,28916;6,64851;3,27164;12,4093;89,4626;2,38044;11,1065;5,27978;5,22826;14;8,8;6,2;34,3;2,846592;3,5;7,5;8,6;0,739775;;4,3;31,6;1,2;5;2,23821;16,7;8,2;18,72;20,44;2,9;4,6;9,8;35,5;28,1;2,9;5,8;7,6;4;33,7371;3,16667;11,414;4,73857;3,50108;5,43091;12,1465;7,72714;77,5061;11,1337;8,63958;75,8081;6,18691;11,3695;7,27538;1,9;5,03304;28,5738;1,31675;3,5441;5,402;1,96;2,73;16,75;5,6;7,41;13;5,52;8,12;19,34;50,56;13,86;8,86;14,8;6,59003;4,61419;3,05578;7,3448;5,9;1,9;3,3;4,00611;1,84559;4,66156;2,77346;9,43174;68,2111;5,23357;3,81529;12,9794;5,8038;6,81059;20,5155;3,6063;7,07969;8,67546;6,78416;5,28192;8,08325;7,55635;6,01692;12,2;8,7;8;35,9279;10,6923;46,0139;5,91658;16,7985;;14,6831;21,9051;13,019;8,39049;15,3263;19,6748;9,58124;18,8734;3,21853;5,11141;6,82;5,96731;6,37546;1,83924;6,14549;4,3567;1,525;2,81537;2,93092;4,33855;14,8333;1,6834;5,21324;10,0029;7,80385;7,90824;31,2739;6,51958;3,54888;3,22225;6,18362;19,3235;2,37141
20.08.2019 15:00;6,86514;2,79205;10,9141;11,208;4,63023;11,242;15,8908;6,52227;17,9911;4,27916;15,2773;80,3699;6,37864;27,1962;5,86453;8,143;24,6;10,6;3,7;44,8;2,946592;3,4;9,9;8,2;1,186367;3,3;5,5;27;1;6,5;2,25734;7,6;4,5;20,97;23,1;3,8;4,8;11,8;39;23,3;2,6;7,8;7,8;4,4;27,5501;3,39;11,0176;7,7231;3,18401;6,33047;12,7106;9,43944;77,2326;13,2773;6,81522;74,5043;7,18434;11,1974;8,1066;1,7;5,12439;36,2907;1,87759;9,21;7,637;1,86;2,43;14,95;11,4;4,81;13,2;6,82;7,82;16,94;62,16;16,16;9,36;12,5;7,45839;5,03075;3,29956;10,2178;9,2;2,4;3,9;5,59438;1,71921;7,74041;2,92748;8,80393;37,9601;4,78053;2,92009;17,859;7,90047;14,3505;10,8274;5,29489;5,71243;10,0863;9,74233;2,27162;8,14046;11,9175;4,72883;12,4;6,9;8;37,2469;12,6304;40,2132;5,75038;19,8647;;16,6971;18,5172;13,3839;5,81036;12,2591;24,3181;8,96038;12,4695;3,25252;5,73069;7,80521;6,93033;6,10725;2,37778;6,15345;4,74176;1,58088;3,15516;3,38589;5,70236;11,1474;0,90433;4,80794;10,8485;7,79112;6,64686;33,7489;6,53006;3,24403;4,42734;7,81393;24,7556;2,2257
20.08.2019 16:00;6,11309;6,89966;13,6616;12,266;3,86224;18,4508;24,498;9,19001;19,7431;4,18462;17,114;85,5301;16,5441;55,1962;8,39952;8,05058;26,8;9,5;3,5;42,2;4,593184;3,5;16,8;11,8;1,339775;;6,1;47,6;1,2;10,9;2,35299;12,7;4,1;16,83;12,88;3,9;8,7;14,9;41,5;24;2,7;9,6;7,6;6,6;15,5273;3,30111;11,0432;8,41067;4,80443;9,34103;15,1043;10,0975;80,0294;19,1477;9,88504;52,3208;12,3478;18,3329;8,66259;3,3;7,32531;41,792;2,75404;12,0897;14,299;3,56;2,33;17,45;8,6;4,81;17;10,02;13,92;18,84;46,66;20,76;9,96;15,4;5,73866;6,89282;3,9199;14,2265;13,7;1,7;3,7;8,6211;1,74258;4,87135;3,16542;9,13719;48,662;6,67978;2,68368;18,0308;7,05162;12,7697;12,8933;5,87447;16,6553;7,92088;7,81966;4,36855;6,84018;16,5641;11,4376;14,5;8,6;10;40,6826;8,68526;32,4981;5,75406;11,7976;;14,6704;33,2752;12,6846;6,57834;14,5886;11,0357;12,3807;12,3118;2,7076;4,7168;9,4559;7,79428;6,25702;2,3491;6,22409;5,35997;1,57082;3,29279;5,08498;8,59047;9,94695;2,11818;6,53621;11,4534;8,78278;8,76546;34,4489;6,58244;4,5973;5,79814;7,14525;18,4784;2,37354
20.08.2019 17:00;8,60188;8,61728;27,3925;16,5685;5,31695;19,5024;46,8637;12,1151;32,7574;5,97022;22,6434;78,4834;14,2455;53,5634;17,6249;13,9703;29;12,9;2,9;38,3;6,493184;3,5;20,3;9,2;2,039775;;7,5;82,8;1,6;10,5;2,62081;11,4;4,9;7,56;16,38;4,1;8,7;20,6;42,7;18,9;4,2;10,6;7,3;6,5;6,71909;3,50639;11,1278;10,9659;7,41378;10,3359;15,774;14,7001;66,2667;20,1833;13,2693;44,4625;13,9082;15,9376;13,2615;5;8,25423;37,2214;3,32013;11,797;14,557;3,76;2,33;20,55;7,9;7,51;23,4;6,92;14,82;29,44;56,96;23,26;17,86;15,5;5,75353;7,26976;4,63265;10,0176;10,4;2,2;10;13,7266;3,04592;6,02758;4,27544;11,4034;66,2179;6,32559;2,73789;15,9213;14,4331;9,17176;30,2479;7,30601;20,6987;27,8352;9,00893;4,84945;7,80192;15,9906;9,89127;16,6;9,4;6;32,4788;11,8969;45,0196;9,34862;15,6362;;8,68473;53,2758;14,4496;6,59693;14,0845;9,6808;10,6225;11,7213;2,74053;10,8235;9,38633;6,10459;5,19852;1,50145;5,23304;4,86392;1,29473;4,60276;6,55309;11,5053;10,6847;1,73637;11,0578;15,8452;9,2593;25,1428;31,6659;10,1854;7,1631;5,73706;6,23721;20,3591;3,19463
20.08.2019 18:00;8,48556;6,55869;30,1021;21,9503;9,5924;13,4515;48,0406;10,1887;38,3873;8,0612;23,174;70,4737;13,4467;35,8897;15,4436;13,3999;33,2;12,9;3,5;49,5;10,139775;5,7;23,9;17,5;6,239775;;11;40;3,2;13,1;3,38601;16,4;8,5;8,55;11,9;5,5;13,2;19,7;36,5;18,6;5,4;13,1;10;8,5;31,3498;3,66861;12,0231;12,2214;10,1325;13,6851;12,5687;14,3092;68,9149;22,0661;8,11591;43,7237;8,93116;16,4448;9,51171;6,6;8,90484;31,9003;3,01316;16,1707;15,123;3,56;2,73;26,85;9,1;8,21;26,3;14,62;20,22;53,44;54,06;22,96;17,16;17,7;9,94081;8,30074;5,22909;15,1233;11,2;2,6;22;11,9155;4,29456;9,51167;5,6473;17,6678;78,4706;20,6475;2,58766;20,8728;19,5445;13,1228;33,8412;7,55887;35,0711;29,0712;13,6059;7,88992;5,79769;21,8837;12,4616;13,6;9,8;8;28,9732;11,225;46,9513;13,0352;17,2989;;10,4544;56,1703;10,9505;9,40173;12,5156;10,5702;8,91682;12,5474;3,06557;10,9473;16,149;8,29128;6,96712;7,17;8,95347;12,9134;1,26284;16,6184;5,6175;14,1491;14,2151;4,70003;11,1735;17,7699;19,9365;36,0656;35,0549;8,01993;14,1323;10,072;11,681;22,6259;4,88675
20.08.2019 19:00;9,87867;2,79949;15,9992;23,9871;11,7062;;41,4145;11,4298;16,7564;10,533;16,8516;69,4539;11,9994;31,0623;9,45006;14,3485;53,2;33,4;4,6;45,1;19,232959;11,5;32,6;53,2;8,539775;6,6;17,2;42,4;6;20,4;4,07469;27,8;10,9;13,86;11,76;9,2;18,4;20,6;39,4;15;7,1;12,6;9,7;11,3;84,503;6,42417;14,5203;14,7989;16,9483;17,1221;14,9842;14,6077;66,2768;18,4147;12,4179;45,436;9,23496;18,1677;8,87472;5,1;12,5036;29,1538;3,3483;14,7829;20,909;3,46;7,13;40,15;15,5;16,31;36,8;15,12;25,12;33,14;58,26;31,86;27,46;25;7,81424;8,37213;6,6445;7,24256;23,4;3;26,3;14,1187;2,96679;8,36075;7,20672;17,5469;66,2349;21,1866;2,53132;22,418;25,8423;26,4044;26,218;12,0064;43,9777;21,3204;19,7426;16,3761;33,4764;23,7568;8,9555;17,3;11,7;11;27,9152;19,76;40,5774;21,3523;16,868;;13,3065;51,6729;10,9716;7,47858;16,6891;9,35002;10,2765;12,7869;3,65139;7,95604;15,4075;15,8388;10,576;10,2281;22,3268;27,7437;1,33896;23,1375;7,9517;17,8633;15,6155;12,675;23,8871;33,9492;27,278;68,9542;38,9373;10,6268;32,828;11,3281;27,9296;37,1482;9,6487
20.08.2019 20:00;8,72138;7,8222;13,4732;24,9718;7,392;;19,7988;14,957;11,1824;11,3297;15,1133;52,4897;8,94444;17,5357;7,27994;18,1406;69,2;46,2;5,6;64,5;21,579551;14,8;34,1;73,8;9,586367;8,2;14,6;30,6;5,2;29,6;5,14597;26;12,3;19,98;17,36;13,1;20,3;25,2;42,1;19,3;8;14,7;8,5;14,8;67,8371;10,0033;14,7515;6,73608;20,8971;11,192;24,3222;16,4528;53,2513;15,2216;16,4783;38,2331;10,3163;13,3941;5,74758;4,6;15,7864;19,7523;4,13317;25,3361;22,32;6,36;5,93;28,65;21,6;26,51;51,2;18,32;22,52;39,64;63,86;55,66;61,76;38,9;9,92912;7,17842;7,90111;14,356;17;3,7;31,8;12,1648;3,29554;7,62038;5,83126;18,1523;41,8643;15,373;2,69566;20,7767;34,8679;29,6686;17,7714;16,0846;83,393;41,5658;13,6332;18,2155;46,225;16,4566;19,8628;17,6;11,6;8;27,5527;20,366;32,8965;28,9976;16,0093;;13,7021;50,4358;9,866;9,25886;18,7573;7,65445;10,5611;14,9566;4,61969;13,9964;10,7831;20,3456;9,54885;8,86796;30,5824;36,7975;1,64526;30,3138;8,02126;16,0169;15,7758;17,0574;34,2707;39,5125;29,0372;62,6446;48,5308;12,5152;30,6127;10,4108;35,1409;35,3003;15,9774
20.08.2019 21:00;10,4438;6,06635;10,4263;16,3524;7,57949;;37,3323;8,67362;9,49782;9,43413;16,627;32,7573;5,96278;11,4621;6,66279;8,7713;61,8;49,1;7;52,5;17,532959;17,6;34,5;62,9;5,139775;7,4;11,6;12,5;6,3;25,8;5,96856;19,2;11,2;13,23;17,08;12,3;16,1;28;48,4;17,9;10,2;11,2;9,3;12,1;61,0152;7,22194;10,7897;3,39486;31,9054;5,18454;15,8;11,5952;39,0505;14,1987;11,9213;28,1149;21,1356;8,95028;6,39409;4,5;12,1106;20,6718;6,59604;30,7975;20,389;7,36;5,93;32,75;9,7;19,11;72,4;15,32;14,32;33,34;48,06;55,16;44,36;38,4;12,6341;7,54479;7,69398;14,5684;19,1;2,7;25,3;8,5929;4,59517;5,82363;4,40291;16,8094;39,5518;13,921;18,8486;17,2591;32,418;24,8096;15,0237;8,81864;97,3281;34,9011;18,4345;20,857;24,3762;11,4498;11,8436;14,9;10,9;7;26;10,7481;30,4029;14,1902;12,8153;;21,6497;64,9751;10,3484;10,4576;15,7844;8,78873;10,5596;13,243;5,73812;14,2279;7,43874;19,0424;14,3257;7,46795;26,0643;31,8991;1,78769;25,3679;8,06574;13,8602;15,8752;30,4592;66,2315;43,8225;28,2006;54,0092;13,563;9,70531;45,4238;7,38351;20,6454;29,3184;9,7921
20.08.2019 22:00;6,48221;4,14373;6,51151;9,8059;5,07158;;17,5808;4,55173;7,95406;2,86322;15,6412;28,6923;4,51657;8,64811;6,99102;6,42698;54;45,1;6,1;37;18,319326;13;19,4;46,7;8,386367;6,5;10,8;12,4;6,3;16,2;4,17034;10,1;7,3;11,25;21,42;10,1;17,5;23,6;46,5;14,3;8,6;10,9;8,2;10,9;13,315;5,46667;8,99338;2,78727;24,7556;4,74261;6,36696;10,0465;45,547;13,0866;9,17919;26,0776;24,3849;8,12441;14,5678;4,3;10,2204;17,3501;5,65221;33,9391;5,867;6,96;5,03;19,55;7,6;18,01;32;11,62;11,02;27,64;26,06;27,36;25,76;21,6;6,44503;7,58154;5,20572;12,5783;18,2;3,5;19,3;7,724;4,52135;6,73396;6,88214;19,7691;48,551;12,531;22,0256;16,1311;26,6893;18,3754;8,85342;11,2961;78,3591;39,1968;15,517;14,0405;26,5155;13,6137;21,3555;12,7;8,2;7;19,6056;5,97553;18,8697;10,1405;19,0875;;18,7955;55,1585;12,0908;10,763;16,4544;6,98603;11,8778;16,3426;5,81407;15,6779;5,3945;14,9485;8,85203;4,31368;15,1372;29,943;2,08734;23,7668;6,20983;13,8309;14,9707;14,0891;56,5073;43,2601;24,2601;44,6925;9,15211;6,62023;19,5656;6,214;15,0552;18,813;7,5354
20.08.2019 23:00;7,41059;4,88782;5,12015;7,58267;2,35229;;9,66463;1,80309;6,65535;1,82224;12,5438;20,5152;4,90269;9,56213;5,46726;3,34547;46,7;31;4,3;18,6;11,026143;19,6;12;44,9;5,339775;5,3;6,5;7,8;5,6;8,6;3,17558;7,4;3,8;4,59;25,9;7,5;12,7;14,5;17,4;10,9;6,3;5,8;6,9;12,5;9,32366;3,92083;9,46392;3,42779;;3,4;3,11868;10,5059;40,5721;8,5323;9,86549;27,0893;16,2515;8,126;8,47717;3,9;12,8547;16,3312;4,70832;13,3442;5,357;9,26;6,03;10,15;7,6;11,21;19,3;11,72;10,12;20,84;19,66;16,26;10,46;13,4;5,65292;10,7147;3,55237;6,0166;10,1;4;23,7;8,7837;2,9312;10,8559;5,06999;11,9954;35,6939;14,4085;11,7054;32,082;23,01;22,2749;17,4995;9,92252;71,3055;68,2213;13,9142;10,8529;13,0608;12,1247;20,7715;6,4;5,9;6;8,65301;5,65899;12,2687;7,59064;11,9216;;15,1701;38,9087;11,6086;5,58888;11,9872;4,13102;11,1177;14,7522;5,73547;13,1838;4,50966;6,88765;4,70724;3,65989;8,03465;27,1196;2,14676;22,5725;3,22398;9,31007;16,7802;14,1842;30,9991;43,1268;42,2343;32,3914;10,7412;5,48894;7,7914;6,71962;13,3667;12,6234;5,29358
21.08.2019 00:00;4,4385;3,09266;5,36025;5,75353;1,24599;;5,69245;1,3458;6,21563;0,84606;9,449;17,1251;4,98076;7,29641;4,67856;3,4246;32,2;22,5;3,6;14,2;9,086367;13;10,2;32,7;3,439775;5,8;7;9,3;5,3;6,6;2,75472;7,4;5,3;5,76;18,76;4,5;5,7;9,5;11,9;11,5;5,5;7,1;5,9;8,4;5,96916;2,77889;9,57907;2,80586;4,07628;3,6536;2,87225;10,252;25,4264;9,34785;16,8155;19,6092;15,1595;8,09466;8,71584;2,8;16,0201;7,79918;6,01221;3,07832;4,662;8,96;6,53;9,25;8,2;7,51;14,6;11,12;9,02;11,34;12,16;12,96;9,66;11,4;3,26899;6,00563;3,58636;5,28178;5,3;4,1;9,5;5,57217;2,75062;10,5266;5,17833;14,7478;22,4315;13,094;7,58977;41,4131;23,0625;23,4864;20,0308;8,34589;58,566;52,6846;13,2683;8,06542;13,4808;10,1867;16,8519;5,8;6,3;4;8,5555;5,0959;8,04778;6,22647;9,65595;;9,0309;31,3005;10,5706;6,59224;10,9561;3,71882;8,73909;8,01476;5,3633;11,5848;4,66103;4,97055;3,1394;2,54243;7,48548;30,1772;1,76342;26,5696;2,58383;10,379;12,1615;10,2222;7,12023;6,98411;10,8539;14,6831;21,0246;5,27428;4,44009;3,54888;;9,4798;4,16497
21.08.2019 01:00;3,89836;2,69326;4,5337;5,72644;;;5,23144;1,59704;5,3769;0,23688;3,95625;11,0854;4,95952;7,40971;4,15594;2,3661;29,9;29,4;4;15,9;6,379551;12;9,2;21,3;1,893184;5,7;5,7;11,7;5,5;6;3,17558;6,8;4,4;7,02;21,28;3,7;4,6;6,8;14;20,2;5,8;6,7;5,8;8,5;5,21087;2,11639;10,2081;2,92748;2,7716;4,24342;2,5249;7,62883;26,879;10,2337;23,131;21,0049;9,79528;10,9064;9,37952;2;13,1447;9,39677;6,5186;1,93696;5,632;4,86;5,03;6,55;7,8;5,31;11,4;9,72;8,52;11,74;8,16;10,76;9,06;9,4;2,50206;5,46243;3,57893;4,94578;4,5;2,9;6,2;5,06767;2,43886;8,00438;6,53001;15,3955;17,216;12,3983;11,7621;37,1156;9,99806;23,9994;34,821;24,2435;47,0322;40,7474;12,1868;11,7107;11,0777;6,83632;13,1896;6,5;4,4;4;9,10126;16,3556;19,1685;6,28605;13,2246;9,66183;16,8928;58,5198;6,67653;8,37804;8,39333;5,9522;4,60964;9,07618;4,62217;8,7021;4,21065;3,55311;1,71708;2,34432;5,96703;19,1859;1,39354;13,8618;2,81608;7,21217;8,00668;11,595;4,85811;4,40132;4,92783;5,31855;17,4842;8,37764;3,841;3,17073;8,59855;5,32651;5,13106
21.08.2019 02:00;3,19463;2,59979;3,82017;3,28386;;;3,70063;0,75663;5,01094;0,68354;2,87331;10,6546;4,25898;6,5936;3,5133;2,3969;22,8;21,1;3,1;11,8;5,886367;8,3;7,6;11,7;1,093184;5,1;5,5;12,5;6,3;7,1;3,67296;7,4;3,6;6,3;21;4,6;6,7;6,9;10,4;20,8;5,1;6,5;15,6;6,5;;1,74278;10,5085;3,58447;3,21906;3,95488;2,87968;9,28382;15,0882;12,272;10,0874;15,5185;9,4474;11,6473;10,1753;1,4;14,4295;9,53284;5,61018;1,62308;5,279;3,86;5,43;6,05;6,4;4,71;10,5;9,42;9,32;8,84;7,96;9,46;10,06;8,1;3,06982;5,57695;3,40632;5,16266;3,1;3,2;5,5;7,42921;1,9444;5,01917;8,66773;12,5078;15,8181;15,825;8,80085;26,9162;10,8221;19,3777;49,0104;25,9785;30,574;35,1817;9,75308;5,96727;11,0225;8,744;10,9987;8,3;4,2;7;8,24577;8,5716;27,5716;5,30368;11,2193;9,14148;15,0437;36,1445;6,28843;13,3989;10,0215;10,4628;4,4284;11,4835;4,46399;6,5555;3,92279;2,90073;1,81215;1,65282;7,08927;9,63648;1,11517;9,75494;2,43817;6,14192;6,40934;10,3762;4,80741;3,363;3,88496;4,04229;7,62357;4,97054;3,17233;3,31732;3,87411;3,64077;5,54533
21.08.2019 03:00;3,15692;3,58553;3,38252;2,54668;;;2,73021;0,8481;5,68738;1,52376;3,48577;8,34376;5,05512;5,33109;3,19198;3,94403;13,2;10,6;3,3;9,1;7,486367;5,8;6,1;8,5;1,493184;4,4;4,2;10,8;5,5;8,7;3,97904;7,3;4,4;6,03;15,26;4,7;5;5;9,8;9,1;5,7;6,7;11,3;4,5;6,51408;1,89639;10,6092;4,47992;3,19463;4,54086;3,14046;9,24505;16,0107;12,8513;13,5768;17,8772;10,8708;12,198;15,4115;1,2;6,5568;17,377;7,12263;1;4,489;2,46;4,63;5,45;7,8;3,91;13,3;8,12;9,72;11,44;7,46;9,86;11,36;7,5;3,19038;5,03572;2,84653;5,67802;4,1;4,5;4,8;6,94351;1,5944;6,39869;5,63403;10,4237;8,27099;7,75718;13,1965;15,6375;16,6208;18,3104;22,5039;16,6177;24,6777;17,158;6,34704;12,5656;10,0241;5,89895;8,53039;8,3;4,2;13;6,49704;5,7291;21,1951;6,30216;11,1368;9,25992;13,0112;33,5163;7,40167;13,9326;10,9935;4,47891;4,44965;10,553;5,91605;8,46379;6,98199;2,38502;1,77391;0,79029;8,42714;16,0507;1,1039;7,40325;2,27829;5,63175;5,22075;6,39485;4,50218;2,74213;3,41831;3,36193;20,4196;3,96594;3,86277;3,59828;1,51869;10,7922;5,08539
21.08.2019 04:00;2,62369;5,25853;2,79231;2,27687;;;5,41043;1,53018;8,40578;1,66132;3,08691;11,5729;3,9366;4,73282;2,61307;4,21118;15,5;9,9;3,8;9,3;6,439775;5,8;6,6;12,5;3,939775;4;5,1;14,8;4,4;5,7;3,99817;14,3;4,2;6,93;15,68;4,8;2;4,5;8,7;6,9;5,6;6,1;11;3,1;5,68395;3,17056;11,0551;5,55277;4,63023;8,91869;3,0029;7,22842;17,4276;11,9022;12,2262;16,5765;9,57965;8,12016;13,879;1,2;6,34116;23,4493;10,3749;4,34555;4,21;0,86;3,03;5,05;6,4;3,11;12,1;8,42;7,92;15,34;13,26;10,76;10,76;9,5;7,77016;4,89465;3,32984;6,87131;7;5,7;7,1;5,29387;1,11852;7,19868;8,22107;9,93804;5,54905;7,67509;11,4768;21,3908;9,96914;20,3047;12,1713;11,4006;23,5644;11,3866;10,5317;8,49106;9,6714;3,639;11,3436;11,6;3,9;18;12,2062;5,8964;23,242;6,95809;11,3776;14,049;14,0782;44,0615;6,81122;14,6401;10,0146;6,14595;4,54153;7,74132;6,28889;8,10582;6,32925;2,63916;2,75062;1,20509;6,11468;14,9072;1,37216;6,38715;2,66163;9,652;4,6412;3,35398;4,99415;2,99494;3,87038;3,73106;14,3326;5,6459;8,20248;6,86249;3,12679;8,63958;8,28586
21.08.2019 05:00;1,96989;12,3212;4,23494;3,54198;3,17013;;11,8225;5,0975;9,16262;1,7856;3,11105;18,0392;3,7199;5,72998;5,64146;7,72873;21,3;14,7;11,8;29,4;7,932959;6;6,2;20;4,139775;3,7;6;21,6;2,9;5,3;4,07469;21,3;4,9;12,78;17,5;4,1;2,9;7,1;24,2;10,3;4;4,8;10,9;4,1;12,1784;4,68889;12,3116;6,69359;9,39589;8,2812;5,63403;7,95711;31,5974;15,5921;17,3843;19,7834;7,81849;10,0725;11,214;1;21,0423;25,7361;16,0885;10,2435;5,237;1,56;2,03;9,35;6,7;5,31;14,2;8,82;11,52;23,64;25,06;10,46;12,96;15,4;6,02492;5,45106;3,72339;4,95227;11,9;4,6;9,1;6,693;2,21473;10,4077;19,4381;10,0278;14,2625;11,2155;15,769;28,6393;23,2897;26,2626;40,2959;9,52653;18,1034;17,928;5,98081;2,43217;15,3051;8,53783;13,7603;18,3;4,7;17;18,0029;6,39139;25,4753;7,10467;16,1434;6,55338;9,50795;39,888;7,76401;17,7848;11,1215;7,98891;4,41991;6,08276;5,4168;8,56948;5,58941;4,70339;4,174;1,43559;5,75884;6,45406;1,35652;7,75226;2,60302;12,8631;5,07099;3,67602;9,95395;4,75026;6,63886;7,29906;14,8977;9,03255;12,2963;25,7424;8,90325;14,0829;5,99996
21.08.2019 06:00;3,74593;17,6547;4,47491;7,50885;12,1519;;19,4164;5,60278;9,67497;3,20048;5,2327;36,0484;4,47089;10,9996;3,37202;11,4109;39,3;22,9;17;15,6;8,032959;9,1;5,4;19,8;5,165918;5,6;7,3;40,9;3,4;9,4;4,34251;28,1;7;21,87;24,92;4,2;5,8;9,4;39,2;25,7;3,3;5,4;13,3;8,2;15,8372;7,64417;12,8301;10,2466;10,5357;10,3762;10,6525;7,87903;41,8893;;26,0133;22,5117;14,8222;15,8595;13,034;2,9;35,1215;34,9823;17,846;17,8846;4,834;2,16;1,53;11,55;14,1;6,91;20,3;16,52;19,82;23,34;41,16;13,16;23,86;19,4;7,27835;5,51207;3,97408;6,35193;15,2;4,5;9,1;8,0148;1,44834;16,5627;18,9171;11,3538;28,1999;18,1794;;24,0197;24,4106;33,125;20,4729;8,82598;20,687;17,8972;6,71968;7,3321;22,978;15,9746;10,3732;25,7;5,5;19;20,6872;5,80186;37,5581;7,45096;8,99463;5,1539;10,2313;40,2556;8,87396;11,1193;15,33;9,01546;4,35352;5,52961;5,76521;14,0569;6,7313;4,42076;4,16497;1,69424;7,40581;12,0668;1,32074;14,1384;3,97573;17,5672;7,08031;3,88191;10,5052;12,7159;18,9772;19,1689;35,2191;21,6663;15,4495;13,9252;10,6117;23,6578;7,53806
