Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140
15.01.2020 10:00;11,8905;9,50689;31,8491;10,0759;21,0161;7,99482;9,86008;52,2571;18,7312;38,0196;24,5;32,7;14,8;16,464796;30;9,2;13,3;26,3;18,1735;12,2;35,2;10,072735;15;6,3;;19,7;18;20,8;8,7;;32,1;43,2;17,2;23;24;26,5;23,3;35,2932;11,55;15,168;4,65444;11,5033;16,2099;17,8356;12,7143;85,6241;52,1339;54,4176;43,8783;50,0785;27,9094;;3,3;14,3762;17,4053;34,682;97,3808;15,6;15,4;21,9;42,08;30,69;27,1;12,99;20,23;27,2;67,12;36,26;40,3;30,163011;12,436;13,9136;16,0037;;15,4;7,5;;;12,2203;6,91207;15,0979;13,6368;17,7292;12,2618;14,8049;;17,1279;;19,4852;25,1594;22,7201;;7,98366;12,3225;13,8762;9,4;31;22,3;31;16,9;5,475;41,0489;37,856;33,1631;43,4373;15,397;27,3389;70,0976;22,6455;21,83;37,1257;19,7881;6,24799;16,8367;19,6786;15,433;20,3984;11,6335;19,9268;19,5221;11,4826;21,9152;12,9761;9,78;15,0225;20,7383;14,3594;27,9347;16,2295;23,4259;32,8444;29,8813;20,8573;22,7162;20,4043;6,25702;12,8344;18,3369;50,7742;9,44967
15.01.2020 11:00;11,2797;8,6688;18,2352;9,41035;22,7548;8,27843;8,20673;41,2594;13,5853;30,8697;24;28,6;15,2;15,277306;27,2;8,4;11,5;20,5;16,2605;11,9;34,5;10,839775;15,3;6,1;;17,6;17,5;15,6;8,7;10,5;35,3;33,7;15,5;19,7;18,5;23;23,3;32,8338;12,4165;16,0449;5,29472;15,4968;15,5664;17,9558;13,8822;87,6785;47,7586;51,999;42,2191;53,7006;28,1367;32,9098;3,5;9,4316;15,7112;40,0628;74,2228;13,6;13,4;16,5;32,98;28,09;22,7;11,29;16,23;22,9;54,92;29,36;34,2;24,963181;10,7141;16,6767;14,458;;14,6;7,4;;;12,033;6,66932;12,2822;11,285;16,6077;12,4089;11,5903;;17,0186;;19,7122;24,9754;22,7137;;8,58002;11,9605;13,2135;11,6;25,3;18,7;23;12,9;2,565;54,7256;31,479;26,7393;42,5881;14,8685;23,3163;65,2183;14,5567;19,2522;31,0833;21,3624;6,39765;16,3113;19,8553;16,278;13,9119;11,3891;21,8823;17,5608;11,6451;22,9275;14,1642;9,43;10,6688;20,9134;15,6934;27,7904;14,0365;21,6205;22,0294;26,49;18,2006;22,6025;19,8215;6,04989;13,8147;15,3211;48,1227;7,63685
15.01.2020 12:00;12,0238;8,27206;15,7793;9,11261;19,743;8,4606;11,7795;36,9021;15,3454;28,0591;26,5;28,4;16,4;12,951163;29,3;8,1;12,7;16,6;18,7474;13,8;32,8;10,165918;15,8;6,5;;19,3;18,2;18,8;8,2;12,6;26,1;14;15,4;21;18,1;27,9;23,7;25,7557;11,1965;15,1181;6,11528;10,8872;19,6422;19,8869;14,7925;71,1816;41,1446;44,9628;41,9525;35,0755;29,8766;29,3829;3,3;8,76662;14,3278;37,3397;45,9746;12,9;14;12,9;25,18;24,99;20,5;11,59;15,93;23,1;59,92;26,76;32,6;25,163352;9,48193;16,8333;13,5588;;15,6;7,4;;;12,7857;6,25517;12,1353;11,4338;17,3031;13,3803;11,9869;;17,3101;;16,8799;22,5016;19,0901;15,7618;7,1439;12,3062;13,4378;11;29,1;16,4;18;12,5;2,775;48,6698;28,672;22,3278;31,5169;14,9066;23,0306;71,1094;13,2257;18,6788;24,4508;18,5501;7,19346;15,3758;19,3144;19,4801;11,0471;10,0215;18,4014;13,5979;12,3181;25,4259;13,5832;9,51;10,3246;16,4232;16,6425;26,2851;13,6714;24,7976;19,8439;28,7236;18,5905;19,5369;18,0871;5,5841;9,85955;13,4646;40,7399;7,80255
15.01.2020 13:00;12,6389;8,55354;14,8329;8,89222;18,1914;8,92373;11,4486;36,4963;14,0994;21,9168;24,8;28;18,2;13,618204;27,3;8;15,7;20;21,8082;16;38,8;9,352285;13,4;7,1;;22;18,3;21;7,8;13,6;27;23,7;17,5;21,7;23,3;26,5;20,5;28,9211;10,7505;14,144;4,98917;15,8303;18,3274;17,789;15,9349;71,8588;43,0901;49,5197;50,5235;33,9381;31,8741;31,5195;3,2;9,4544;13,8899;42,4199;25,0552;;14,8;11,6;21,78;22,09;19,8;12,39;17,23;27,6;57,92;25,76;32,7;21,063522;8,7936;16,3173;14,6327;;12;7,2;;24,6;13,9011;6,33333;12,1747;9,39695;16,4424;15,9567;12,2049;;16,6053;15,1468;15,161;23,5701;18,0029;14,2701;8,14764;10,7773;12,8176;8,1;33,2;17,3;19;12,8;4,94;50,57;26,9587;21,4635;28,0226;18,4284;24,4529;75,6244;13,9156;18,5562;24,8672;20,9327;7,18605;16,725;21,1211;17,745;12,71;10,0348;18,4041;15,7819;12,8099;22,4862;14,2396;10,09;;;;;;19,0926;;;18,5044;20,4542;17,494;4,81293;11,3891;15,1784;34,8701;7,6002
15.01.2020 14:00;11,814;10,3737;12,2819;10,2796;19,4806;9,96577;9,9031;46,1011;13,1556;24,156;28,3;32,5;18;14,978428;26,9;9,8;16,3;28,7;24,6777;17,6;45,7;9,659102;13,5;6,7;;23,9;19,1;22,2;8,3;14,2;32;24,2;20;13,7;27,2;23,6;19,7;30,1469;13,4618;11,5745;4,48861;11,8571;17,6826;18,5724;18,2017;77,3197;56,4406;51,2809;56,2383;35,2873;41,193;34,5855;3,4;11,1173;15,7381;32,3207;26,2799;15,2;15,7;11,7;22,68;;21,9;13,99;20,93;27,1;63,62;29,66;32,9;25,463692;9,51008;15,2718;19,7657;;14,5;8,2;;29,7;20,7437;6,21028;12,2887;10,9802;16,9256;13,1816;14,3004;;17,2745;16,0685;15,3567;23,0225;20,0807;14,7896;8,08613;11,514;12,6173;9,5;35,7;16,4;18;13,4;6,555;50,2024;29,0985;22,8476;33,0123;17,1849;26,6968;78,99;13,1004;17,3751;31,2405;23,602;7,62231;20,9805;22,0766;16,0496;24,9681;10,9207;19,8689;18,0546;14,4239;22,8617;16,5617;10,39;13,0099;19,2177;19,0282;26,7423;15,6247;17,4161;23,704;35,3665;25,6771;20,6363;15,3866;4,75716;12,5326;17,189;34,8446;8,46219
15.01.2020 15:00;11,7105;12,2272;11,9362;11,8453;26,7576;12,642;9,12502;56,1708;15,321;27,9136;31,4;37,4;19;18,778428;30,7;10,4;14,4;29,7;21,4256;19;47,5;10,579551;17,1;6,5;;27,5;20,8;26,8;10,8;16,2;37,2;36;24,9;18;33,4;33,8;27,3;35,9955;13,8876;14,3432;4,18417;9,4097;18,1432;21,1218;23,2117;83,471;66,0962;61,8086;69,0322;41,9176;43,6828;42,5489;4,1;12,4138;19,5346;42,3489;22,6731;16,3;18,7;12,7;30,88;33,19;25,7;19,89;22,83;31,6;62,72;40,46;38,7;33,263862;12,3127;16,6499;25,3294;;16;9,1;;40;15,2374;6,28411;14,7462;14,6279;17,1207;17,993;14,3701;;22,3247;21,2474;34,686;20,1011;22,0282;19,3784;8,89437;14,2383;14,9288;20,9;41;17,4;21;13,8;6,765;43,606;32,3948;23,9574;41,083;7,55616;35,3699;89,1746;16,2122;19,0508;33,5652;26,5571;7,69539;24,3048;26,9393;15,8255;20,2603;13,0329;26,5858;20,7649;13,803;28,8776;16,4119;10,72;18,3267;20,1406;18,4903;29,6005;18,4451;26,9304;29,9164;35,8646;24,5501;23,2228;19,8373;5,86453;12,2294;21,2056;43,0843;9,09953
15.01.2020 16:00;14,4229;11,1533;14,8663;16,0974;27,3094;13,9496;12,4392;54,6283;19,3425;33,3803;45,5;47,6;20,1;25,531836;35,9;11,5;14,8;33;23,1473;21,3;46,6;11,986367;20,4;6,6;;34,2;22,6;54,2;12,5;18,5;40,7;29,6;29,2;19,6;50,4;37,3;26,7;50,4407;10,895;18,0642;5,73472;10,8718;20,0988;24,0758;29,7242;93,5382;78,23;72,869;79,5318;56,0028;56,8926;46,9344;4,4;16,2309;27,8077;60,2646;54,0448;18,9;21,5;14,7;46,28;50,19;29,7;20,19;25,93;40,4;67,62;41,16;53,1;36,364033;11,4362;14,8965;20,1867;;20,9;8,8;;48,5;9,71483;6,53214;21,4144;23,8777;22,2041;19,5948;21,8222;;26,0506;20,11;37,4391;18,0557;17,2149;23,531;10,1856;15,9352;16,9141;23,2;56,6;19,8;41;14,6;6,42;30,9933;36,4055;27,0999;36,1447;5,52536;48,7247;102,477;19,12;27,2186;36,1745;32,6474;7,5373;30,6732;40,1701;19,4275;23,1081;15,4113;32,334;22,6234;13,8121;34,2869;19,615;10,91;27,009;22,636;18,4947;38,6412;20,0834;27,973;34,7522;45,6227;32,692;26,8015;25,0236;6,33456;15,5701;25,423;49,7173;10,3737
15.01.2020 17:00;15,2785;9,83936;26,5258;14,7941;34,0554;17,5208;15,4888;61,2541;24,2712;36,4055;54,7;50,7;20,4;26,159102;45,9;16,3;21,1;36,8;28,695;17,4;36,7;11,779551;24;6,5;;36,3;20,2;55,3;12,4;24;44,7;32,2;33,5;25,6;59,4;43,3;28,9;48,5579;12,3321;19,2793;6,04667;18,7891;23,4585;19,8965;34,9221;107,418;89,4598;66,084;85,3899;62,3267;50,8682;50,0032;4,2;13,8552;31,1892;67,0399;101,898;20,7;26,9;16,1;56,68;61,09;43,1;23,09;29,73;39,5;78,52;54,36;51,9;45,664203;13,58;14,2212;18,2696;;20,7;7,9;;40,1;9,83713;6,26977;30,338;33,549;22,6938;22,5457;22,8118;;24,9684;31,4128;46,1613;17,1149;20,3766;28,1822;11,0445;19,8309;17,7707;17,7;57,4;17,8;59;16,6;5,565;36,3937;47,5583;36,688;64,1944;6,22098;65,716;110,556;22,8102;36,4892;62,3949;61,4373;7,80827;35,1639;63,6328;22,5138;49,3397;15,4686;31,7015;30,0758;11,8873;33,0957;19,7711;10,97;30,6692;25,7492;18,7167;45,0229;20,2761;28,977;46,579;50,4212;45,0483;26,5917;21,9584;7,52372;18,2644;26,3424;52,3336;10,3445
15.01.2020 18:00;14,6119;7,92312;45,239;16,2504;27,131;17,3275;14,7994;54,2254;17,1724;43,3567;52,7;44;18,5;19,119326;37,9;29,7;21,5;36,7;29,4602;15,4;41,4;11,332959;23,1;6,6;;35,7;19,9;39,6;9,1;16,2;38,3;27,7;24,4;25,4;46,2;36,6;27,6;47,0028;10,4184;19,4854;4,36722;13,5476;22,9559;19,2305;38,2018;98,9991;104,615;77,4679;82,267;69,2366;44,5145;50,8101;4;13,4351;29,7038;72,0906;101,639;22,1;25,7;31,8;48,78;57,99;38,3;22,39;26,83;44,3;78,72;50,96;52,4;45,464373;14,8966;15,8138;16,2805;;15,8;7,4;;35,8;9,63769;6,13964;30,0023;53,2139;19,6742;19,889;14,222;;19,8967;24,3851;45,8246;17,6287;16,8238;25,3379;10,9503;17,8204;16,9391;14,7;47,5;16,3;60;18,4;4,68;28,4292;46,5431;36,0731;72,6002;6,02387;62,3753;98,8616;15,0936;44,1749;68,396;64,513;7,47934;40,6581;61,2184;23,5659;59,4048;14,8185;21,7803;28,6086;11,9118;32,0871;18,1146;11,38;24,5016;21,7379;17,1446;43,2337;22,235;31,7287;45,3144;48,0836;44,5427;20,6602;18,0471;8,23435;17,8618;24,5598;49,9754;10,456
15.01.2020 19:00;14,0383;6,99633;33,2762;12,1209;13,9845;13,325;15,1728;55,6615;15,6779;43,2287;48,5;37,4;17,3;17,665918;28,8;28,9;17,4;34,2;21,8082;14,3;41,9;13,393184;23,6;6,4;;34;17,2;33,9;8,5;11,3;35,4;26,6;23,4;33,2;62,7;35,3;17,8;46,0229;11,4093;;4,86111;18,9548;22,3911;18,4434;37,0078;98,6587;107,001;77,9974;82,651;63,7253;49,5952;47,4992;4;15,4082;24,796;58,264;103,832;;19,5;35,2;46,38;51,29;32,6;17,39;19,43;41,6;64,72;45,86;46,2;42,664544;11,463;14,1025;13,4992;;15,2;7,5;;38,5;8,40604;5,69351;43,2986;45,8806;19,243;18,1215;11,4748;;17,6739;17,6984;43,4857;15,9366;15,1159;19,3664;10,2609;17,0069;13,975;13,9;41,5;28,1;45;18,9;4,06;27,7261;36,8575;26,47;77,5428;16,904;43,9882;92,3634;19,2305;48,9175;67,7246;56,5113;6,91437;43,7098;50,6808;22,0788;51,368;14,2024;19,2198;28,8483;11,8544;26,2002;20,0813;11,08;20,9584;18,913;14,8066;36,0193;21,1006;23,935;38,6042;34,7669;31,6388;17,2571;15,7816;7,2964;16,072;20,7852;36,2149;10,96
15.01.2020 20:00;13,2656;6,23949;34,3422;12,2539;18,9278;10,9404;15,1882;53,2189;12,6107;37,2952;26,4;28,2;18,4;16,672735;27,4;22,8;15,8;26,7;21,4256;11;32,4;15,293184;23,6;5,9;;30,8;15,2;28,3;7,9;11;27,2;16;21,6;30;48,1;33;14,8;39,2723;12,0675;18,4609;5,46167;11,2665;20,3713;18,9129;39,9385;94,9382;97,4584;71,7303;73,6295;60,1328;42,8208;51,3328;3,7;14,0873;24,1292;58,3233;86,6842;;17,8;28,3;39,98;46,59;27,1;11,69;12,53;40,3;55,72;36,86;48,7;37,964714;11,4125;13,4357;12,3484;;16;7,6;;33,2;7,68864;5,52674;20,7929;44,6032;15,9366;12,6458;12,412;;19,0515;14,6076;38,513;14,3013;13,1184;15,7194;9,40478;16,5668;12,8139;14,3;42,4;27,9;30;16,2;4,075;22,2238;31,4832;21,8366;68,8466;39,5606;35,5813;86,9546;17,088;56,7419;60,3608;36,5558;5,77903;37,6383;52,0322;21,5466;50,0466;13,9098;18,7652;28,2008;11,1491;25,0265;12,1906;11,92;20,2445;21,2833;12,1407;31,1616;17,3609;21,9925;35,6458;31,8854;26,5784;17,3073;18,7053;7,89231;15,2801;14,9598;40,6332;11,8836
15.01.2020 21:00;11,4433;8,83716;22,8797;11,3841;7,58148;10,7194;12,7376;56,3833;15,1085;38,8996;22,9;26,1;16,5;13,726143;24,3;19,7;13,9;21,6;20,0865;8,9;24,2;18,979551;19,3;5,9;;27,1;13,5;24,3;7,5;11,2;24,2;15,2;14,4;33,6;40,6;30,9;14,4;37,659;16,0602;19,2565;5,58167;12,7674;15,9296;16,5983;38,7897;80,9466;79,2609;58,5964;76,5358;58,0291;37,0721;53,8736;3,6;12,7287;15,7254;55,9969;78,2635;23;17,8;20,8;31,68;41,99;26,2;8,79;10,33;30,7;51,52;41,26;40,4;37,364884;11,2718;12,9101;10,4544;;15,9;8;;32;14,2371;5,35148;14,6252;49,7327;11,9633;13,9773;9,15178;;15,1079;12,6047;26,5708;13,3199;13,2922;14,8652;8,64182;15,4899;12,3707;17,1;38,2;26,1;26;11,9;4,02;26,9592;28,0336;18,6967;67,8763;45,5529;32,99;68,9467;14,6932;41,0644;45,785;35,5234;5,15426;27,8697;37,0588;16,499;44,6749;16,6041;17,0556;27,6417;11,8555;21,7697;10,4262;13,35;21,3574;19,1775;14,2283;30,7958;18,5237;27,051;36,2749;30,462;28,296;16,2095;18,2034;9,14945;15,2323;15,7781;37,407;11,7652
15.01.2020 22:00;10,277;7,5439;37,395;10,3518;7,78095;9,73952;10,6254;47,2689;18,6436;36,2154;22,2;27,2;15,7;10,479551;22,1;14,5;13,3;20,2;18,5561;8,4;27,8;19,393184;13,9;5,8;;19,1;14,4;18,9;6,6;10,7;21,8;13,8;10,9;17,3;35,8;31,1;12,8;25,011;16,9262;20,5168;5,32167;11,5055;14,4561;15,4463;36,1522;79,5944;61,841;46,8541;60,9482;48,3718;35,2998;54,2784;3;10,7641;12,2786;49,4458;70,0121;22,8;19,8;16,7;26,98;42,69;26,6;8,29;10,33;26,9;51,12;42,46;35,5;41,365055;9,10484;10,8664;10,7127;;15,3;8,3;;31,8;29,4525;6,27348;10,9081;34,3544;11,8929;10,4958;6,75888;;13,9763;11,1371;19,2432;19,2841;13,526;12,5522;9,076;15,0965;11,0821;30,4;40,8;22,6;25;10,5;5,295;14,7568;20,9458;14,6968;60,9343;30,6661;23,779;71,5053;16,0713;19,1931;53,5826;32,1432;5,05903;21,621;41,6197;17,3673;31,2974;18,9315;15,0798;26,2358;12,1109;19,8625;9,31781;15,01;20,721;16,3303;16,1261;31,4127;18,3789;20,1053;25,4482;29,2472;25,7552;16,0677;16,1436;9,33268;15,911;;36,4633;11,5586
15.01.2020 23:00;10,541;6,95862;35,5807;9,89463;7,61268;9,17388;12,2118;52,0218;20,8737;29,7603;23;25,9;15,7;12,679551;20,3;14,6;12,6;19;25,0603;9,7;25,6;20,039775;9,4;5,9;;16,3;16,3;11,1;6,2;10,1;18,7;14,4;7,8;7,9;34;22,5;12,2;22,5579;16,7608;20,2576;5,93111;17,5293;15,222;14,0739;34,817;80,1813;60,0936;39,725;63,4545;44,5603;33,0866;45,4749;2,4;6,8424;11,7588;37,9987;61,5945;20,2;18,8;15,4;26,68;36,49;23;7,69;9,43;21;43,62;35,66;33,7;37,465225;8,78033;9,74882;18,4551;;15,1;9,1;;30,3;33,051;6,14708;9,49031;31,3154;12,831;20,7622;4,24703;;12,9027;11,1439;11,4139;22,7796;13,3012;11,5172;9,67013;15,3567;10,2346;20,1;39,9;25,7;26;8,7;6,415;8,62151;17,8931;10,5569;57,3818;24,5493;29,8064;66,6576;14,1189;13,2551;47,1896;31,8379;3,96424;16,2681;32,0022;12,277;34,5291;19,0472;15,3248;24,2563;12,7743;18,5868;9,37411;15,13;15,6118;14,4396;15,1163;29,1917;18,0451;17,7081;21,561;26,2724;23,6536;15,4734;14,6566;8,82919;16,1575;11,139;34,6614;11,7005
16.01.2020 00:00;10,5303;7,77653;42,1925;8,02932;8,0442;9,97692;8,29277;54,2348;26,6437;24,1768;20,1;22,8;16,2;15,326143;19,4;11,9;13,5;15,9;17,0257;10;18,7;18,232959;8,2;5,8;;8,3;15,1;9,2;6,1;7,8;12,9;7,4;6,4;6,7;27,2;10,2;10,2;18,8783;14,7746;18,2755;5,41056;13,4663;13,8903;13,3542;31,6728;62,8145;58,145;32,9623;60,6874;38,2715;27,6029;36,5099;2,4;7,14829;8,99768;31,7372;59,1812;;14,6;14,3;24,28;29,79;21,2;5,99;6,83;17,4;38,62;24,16;24,8;24,165395;7,82008;9,90979;24,7972;;12,5;10,3;;25,4;41,2541;6,40573;9,92004;26,5125;13,436;18,1401;5,31964;;11,0811;9,8566;9,99135;18,1147;11,1268;12,2862;9,46962;14,0466;9,63001;16,8;37,4;25,5;28;7,9;8,615;10,0509;12,5873;8,24019;38,6679;22,3337;27,1908;58,6166;8,843;11,7644;39,8822;24,6611;3,93568;9,37041;17,6303;7,98844;16,799;17,0758;14,781;19,2057;13,1875;10,4448;9,12927;14,12;14,3973;14,7732;14,0165;24,3854;18,4393;18,2402;17,0391;19,3575;20,204;12,9368;12,8187;8,56895;17,0487;10,4076;25,8508;11,5594
16.01.2020 01:00;11,5081;9,4814;21,7293;8,16821;8,15516;10,1092;8,5254;52,0792;24,8454;16,417;18,2;20,1;16,5;13,226143;16;12,5;13,2;16,3;16,8344;9,4;16,1;13,832959;7;5,5;;7,9;13,5;8;6,2;7;8,3;6,4;6,3;5,7;7,3;9,1;7,5;14,6358;13,9819;17,8618;5,22972;10,0608;13,4258;14,441;42,516;53,5047;48,6344;29,9435;51,9613;34,9927;26,1971;38,2166;2,4;5,2747;8,27792;26,5284;59,2725;;11,6;12,1;18,68;23,09;22,6;5,49;6,63;15,9;26,52;17,96;19,8;13,865565;8,45594;9,86962;20,7784;;11,4;10,2;;22,5;18,4165;6,05057;5,3896;17,3562;15,1402;12,0424;6,93344;;10,3251;8,94316;9,40826;12,594;11,7899;11,3427;8,77401;13,4952;9,32521;15,3;40,9;26,1;32;7,5;9,63;4,48808;9,8059;8,08988;21,4;24,3125;27,4887;53,3246;9,25249;13,2509;21,7155;15,7836;3,68113;7,53524;7,20755;5,10823;20,0755;11,7583;15,3093;14,2193;11,9856;10,8219;8,7782;12,52;13,5963;12,4181;14,6875;19,8159;18,028;17,5113;14,8727;17,0114;21,2678;11,4582;12,3805;8,15893;15,6481;11,1492;17,1151;11,4359
16.01.2020 02:00;10,6127;8,65074;14,0086;8,87546;8,5304;10,447;8,61462;40,9428;21,8239;12,3188;17,3;18,4;16,5;12,779551;14,9;12,9;12,5;18,2;16,8344;9,5;13,6;10,886367;7;13,3;;7,3;11,4;6;6,6;7,5;8,9;6,7;6,5;8,9;19,6;8,1;8;13,7744;14,0133;15,7177;5,27194;11,6685;12,6142;15,2062;33,613;52,8238;37,0795;26,7738;44,6181;28,7685;26,5104;44,2431;2,1;5,05681;8,28028;23,5109;56,728;;11,3;10,3;16,28;17,59;20,8;5,99;7,53;16,9;22,42;16,46;15,5;13,265736;9,92062;12,3721;21,1974;;10,7;10,4;;21;5,8365;6,32145;6,55121;25,4477;17,6097;14,9354;2,74805;;10,1297;8,25373;9,61363;9,3304;11,2607;10,9503;8,53306;13,2438;9,23196;15,3;38,6;25,1;31;5,1;10,755;9,86084;9,49574;8,5971;22,4493;12,3523;17,3806;42,0746;10,0529;12,6356;22,3492;12,0329;3,98242;9,09612;14,998;3,25518;8,61462;9,80219;17,6016;11,1352;10,4613;14,7383;10,319;10,28;11,9793;11,9296;15,3081;17,1157;14,8335;15,781;13,3551;15,2647;17,1862;12,0711;13,2772;7,72129;15,1813;11,939;19,9523;11,7742
16.01.2020 03:00;8,74793;12,3473;19,2623;8,97174;10,5205;10,9207;9,13246;38,5146;14,298;12,3265;15,9;16,9;14,4;13,326143;14,9;13,1;13;18,5;17,217;10,5;15,2;10,539775;6,5;5,7;;6,5;10,8;5,2;6,7;7,2;9,7;7,3;6,8;8,1;11,1;9,4;10,2;12,3536;14,1438;15,7703;5,28194;13,76;12,1614;15,7362;20,7468;50,3892;37,1411;25,1088;42,4007;24,8361;26,8163;54,1401;2,2;4,5496;7,13151;25,1347;52,4743;;10,7;8;16,18;18,89;17,8;6,79;7,93;16,6;15,92;14,56;13,3;15,365906;10,4305;12,9324;16,6576;;9,9;9,8;;18,5;21,8333;7,13149;6,57473;13,8222;19,8857;13,4095;2,38719;;10,211;8,36359;10,0392;6,94202;8,99163;12,1766;9,04844;12,4743;9,31259;11,9;42,6;22;32;6,7;7,965;15,7473;10,4533;8,64224;18,8975;14,0233;16,576;41,8043;10,7996;13,346;20,4988;10,1649;8,48092;9,85846;8,85745;3,21906;8,03571;7,59914;18,9134;9,21673;9,12714;11,3068;11,5995;8,1;11,4634;12,334;15,1332;16,4639;12,8832;14,9836;12,3686;14,7759;13,4913;13,0159;11,9024;7,7128;12,4567;12,4419;12,9203;12,0913
16.01.2020 04:00;9,40492;11,694;20,2428;9,8138;17,1367;11,9282;8,93488;38,4392;16,457;12,9951;16,1;17;14,1;13,879551;17,4;11,5;12,8;21,5;17,217;11;14,9;10,693184;9,3;4,5;;8,4;10,3;4,7;6,7;7,4;10,2;7,8;8,6;6,6;10,9;12,1;9,6;11,148;13,1522;15,3661;5,97194;10,6052;12,2979;14,3335;22,4814;54,7246;46,0346;34,4213;42,7481;28,0332;19,137;45,2789;2,1;4,76045;8,94309;19,9491;47,6077;;9,6;6,6;16,18;21,89;15,6;7,29;8,33;10,4;18,52;15,86;14,6;15,066076;11,2914;14,4066;11,907;;10,1;9,7;;13,8;38,5798;8,18495;5,98979;10,3944;18,5969;18,4837;3,78271;;9,82667;7,88834;10,0768;6,90637;8,5458;11,6098;8,87611;12,0449;9,09235;12,5;41,5;22,9;30;6,6;6,855;13,5741;10,892;9,82131;20,15;14,1294;16,5037;37,2256;12,4206;11,1537;17,3498;11,8029;16,674;11,2729;8,60363;3,94934;9,41766;7,87903;20,6549;7,62462;8,05589;11,4184;12,761;7;11,5302;12,4205;13,9483;16,8998;12,5252;14,5261;13,3128;16,2206;12,2161;12,7722;7,52595;8,37828;8,37509;10,7951;4,76562;12,3627
16.01.2020 05:00;9,80431;9,57965;11,0503;10,3157;18,7911;13,6315;9,2254;47,0692;19,9602;20,4312;18,7;18,5;13,5;12,979551;18,1;10,8;12,7;24,7;20,8517;11,2;26,3;10,339775;10,3;4;;9,5;11,4;5,5;7,8;9,4;12;10,2;10,9;6,8;10;14,9;11,6;11,9351;11,5303;16,0183;5,92194;10,0677;13,8072;14,0382;13,631;55,2563;46,7192;38,778;44,4715;29,6118;20,374;23,3269;2,1;7,3682;13,9615;28,1409;42,1155;;9,2;6;16,68;28,59;15,7;8,09;8,93;11,7;20,52;14,36;16,6;17,966247;11,0455;20,3327;13,4377;;11,1;9,5;;16,3;20,7034;6,89295;6,75628;8,17858;19,4431;19,6219;4,62162;;11,0291;9,26347;;4,16101;6,57275;11,6672;9,27914;10,1895;8,55058;18,2;44,2;12,8;33;18,2;3,155;38,3491;18,7923;12,7095;20,0595;10,4945;18,1507;43,6876;15,1223;13,245;16,3635;11,4279;29,032;19,4009;20,0128;4,09646;9,69118;8,7798;20,6809;8,06558;8,19239;13,8036;13,6724;6,96;12,7081;17,1997;15,0196;17,3081;12,2333;16,1318;16,1734;17,1784;13,6331;22,4357;7,68349;7,95551;7,05156;10,6202;8,04208;6,27455
16.01.2020 06:00;9,16963;22,7841;19,5226;11,4836;39,497;15,1154;11,5995;64,8311;21,8998;33,9412;30,3;22,9;14,4;13,379551;18,2;10,4;13,4;26,7;26,5907;12,1;34,5;10,4;13,5;3,8;;15,4;15,7;10,6;7,6;12,1;18,2;17,1;14,8;7,9;17,2;27,2;17;17,0922;11,3341;17,5984;7,68806;11,2702;16,4102;16,8426;11,8284;57,2612;50,7647;39,674;36,5319;33,9237;24,4624;21,4396;2,1;13,6406;22,5707;24,2794;37,6961;;9,6;6,6;22,28;33,19;22,4;10,99;11,33;16;27,42;19,06;26,3;19,866417;12,2501;26,6186;17,5919;;12,4;8,5;;22,6;10,0935;5,83518;11,9015;7,86469;23,7678;20,7686;6,43779;;10,2989;18,9149;7,47615;3,4467;4,93023;11,2743;8,84588;12,1548;5,05723;16,9;44,6;13,3;32;6,5;4,315;47,5685;28,7554;18,3393;25,5656;12,4575;27,544;55,6238;19,6118;20,4668;27,2821;16,2823;39,5911;20,1255;22,4356;5,8316;9,0103;11,0275;20,179;9,95872;9,1367;14,715;15,4835;7,62;16,0298;23,5985;18,0377;21,8628;13,3156;27,0498;28,4144;29,3171;19,9517;54,0092;9,58853;6,64792;6,22568;14,0617;12,9411;5,82305
